,word,tags,ipa,results
279,Gréigis,,ˈɟɾʲeːɟɪʃ,gɾʲɛɟiʃ
282,Iarmhí,Ulster; Connacht,əˌn̠ʲiəɾˠˈvʲiː,iərvʲi
283,Idirlíon,,"-ˌl̠ʲiːnˠ, ˈɪdʲəɾʲˌl̠ʲiːn̪ˠ",ɪdʲiɾʲl̪ən̪
286,Indiacha,Connacht,ˈinʲiəxə,ɪn̪əxə
290,Inis Meáin,,ˌɪnʲəʃ ˈmʲɑːnʲ,ɪn̪iʃ mʲain̪
294,Iúil,,uːlʲ,ɪəl̪
295,Iúr,Ulster; Connacht,ən̠ʲˈtʲuːɾˠ,ɪəɾˠ
301,Leitir Ceanainn,Ulster; Connacht,"ˌl̠ʲɛtʲəɾʲ ˈcanˠən̠ʲ, ˌl̠ʲɛtʲəɾʲ ˈcan̪ˠən̠ʲ",l̪ɛtʲiɾʲ cɑn̪ən̠ʲ
306,Loch Garman,,"ˌl̪ˠɔx ˈɡaɾˠəmˠənˠ, ˌl̪ˠɔx ˈɡaɾˠəmˠən̪ˠ",ˈl̪ˠɔx ˈɡaɾˠəmˠən̪ˠ
312,Lá Fhéile,,ˌl̪ˠɑː ˈeːlʲə,l̪a ɛl̪ə
313,Lá Fhéile Pádraig,,ˌl̪ˠɑː ˌeːlʲə ˈpˠɑːɾˠɪc,l̪a ɛl̪ə pˠad̪ɾˠiɟ
323,Meán Fómhair,,ˌmʲɑːn̪ˠ ˈfoːwəɾʲ,mʲɑn̪ fˠʊvˠʊ̽ɾˠ
330,Muileann gCearr,,"ənˠ ˌmˠɪlʲən̪ˠ ˈɟɑːɾˠ, ən̪ˠ ˌmˠɪlʲən̪ˠ ˈɟɑːɾˠ",mˠɪl̪ən̪ˠ gɑːɾˠ
361,Nás,Munster; Connacht,ə(n̪ˠ)ˈn̪ˠɑːsˠ,n̪asˠ
362,Nás na Ríogh,Munster; Connacht,ˌn̪ˠɑːsˠ n̪ˠə ˈɾˠiː,n̪asˠ n̪a ɾʲiə
364,Ocsatánais,,"ɔksəˈtˠaːnˠɪʃ, ˈɔksətˠaːnˠɪʃ",ʊksˠʊ̽t̪ʊ̽n̪iʃ
365,Odhrán,Connacht,ˈoːɾˠɑːnˠ,ʊɣɾˠʊ̽n̪
368,Ollainnis,,ˈɔl̪ˠən̠ʲəʃ,ʊl̪ˠʊ̽n̠ʲʊ̽sˠ
369,Ostair,,ˈɔsˠt̪ˠəɾʲ,ʊsˠt̪iɾʲ
370,Oíche Inide,,ˈiːç ˈɪnʲədʲə,ɔçi ɪn̪idʲi
426,Sh,,h,
435,Sligeach,Connacht,ˈʃl̠ʲɪɟəx,sˠl̪ɪɟəx
452,Taoiseach,,,t̪iːʃəx
468,Tír na nÓg,Munster; Connacht,ˌtʲiːɾˠ n̪ˠə ˈn̪ˠoːɡ,tʲəiɾʲ n̪a n̪ʊg
473,Uí,,iː,ɪ
474,Uíbh,,iːvʲ,uiː
475,Uíbh Fhailí,Ulster; Connacht,ˌiːvʲ ˈalʲiː,uiː ail̪ə
477,Vallúinis,,wal̪ˠuːnʲɪʃ,val̪ˠən̪əsˠ
482,Volaifis,,wɔl̪ˠəfʲɪʃ,vʊl̪ifʲiʃ
484,a,,ə,a
485,a chairde,Munster; Connacht,ə ˈxɑːɾˠdʲə,a xaiɾʲdʲi
486,a chara,,ə ˈxaɾˠə,a xaɾˠə
487,a chlog,Connacht,"oːˈxlˠoɡ, əˈxlˠoɡ",a xl̪ʊg
489,a lán,Munster; Connacht,əˈl̪ˠɑːnˠ,a l̪an̪
490,a',,ə,a'
499,abhac,,auk,əuəək
500,abhacád,Munster; Connacht,ˈavˠəkɑːd̪ˠ,əuəəkəd̪
506,abhrasóir,Connacht,ˈavˠɾˠəsˠoːɾʲ,əuəɾˠəsˠəɾˠ
515,ach,,,ax
524,acústaic,,əˈkuːsˠt̪ˠɪc,akəsˠt̪ic
525,ad,,əd̪ˠ,ad̪
529,adharc,Connacht,ˈai(ə)ɾˠk,əiərk
532,adhlaic,Connacht,"ˈɑːl̪ˠəc, ˈəil̪ˠəc",əil̪ək
534,aduaidh,Ulster; Connacht,"əˈd̪ˠuə, əˈd̪ˠuəj",ad̪əə
543,ag,,"ə, əɟ, əɡ, ɛɟ, ɪɟ",ag
546,agaibh,Aran; Connacht,ˈɑɡiː,agəː
548,agaibh,Mayo; Connacht,əɡiː,agəː
559,agat,Mayo; Connacht,ˈuɡəd̪ˠ,agət̪
560,aghaidh,Aran; Connacht,ai,əi
565,aici,Connacht,"ˈɛciː, ˈɛcə",aici
566,aicise,,ˈɛcɪʃə,aiciʃi
569,aidhmeannas,,ˈəimʲən̪ˠəsˠ,aidhmeannas
573,aiges,,ˈɛɟɪsˠ,aiɟiʃ
590,air,,aɾʲ,ɑːɾʲ
592,airc,,aɾʲc,ɑːɾʲk
596,airg,,ˈaɾʲɪɟ,ɑːɾʲg
600,airleacan,,ˈɑːɾˠl̠ʲəkənˠ,aiɾʲl̪əkən̪
601,airne,Munster; Connacht,ˈɑːɾˠn̠ʲə,aiɾʲn̪ə
604,airnéis,Connacht,ˈɑːɾˠn̠ʲeːʃ,aiɾʲn̪iʃ
610,aiseag,Ulster; Connacht,ˈæʃək,aiʃəg
613,aisteoir,Connacht,ˈaʃtʲoːɾʲ,ɪʃtʲoːɾʲ
622,aithinne,,ˈæhən̠ʲə,aiçən̠ʲə
638,am,,əmˠ,ɑːmˠ
640,amach,,əˈmˠax,amˠəx
641,amach is amach,,əˈmˠax əsˠ əˈmˠax,amˠəx ɪʃ amˠəx
652,amha,,ˈawə,əuəə
653,amhairc,Connacht,ˈafˠɪɾʲc,əuəərk
654,amharc,,ˈaːfˠɾˠək,əuəərk
658,amhrán,Aran; also; Connacht,ˈɑːɾˠɑːnˠ,əuɾˠɾˠən̪
657,amhrán,Connacht,"ˈoːɾˠɑːnˠ, ˈoːɾˠɑːn̪ˠ",əuɾˠɾˠən̪
664,an té,,ə(n̠ʲ)ˈtʲeː,an̪ tʲɛ
665,ana-,,ˈɑn̪ˠə,an̪ə
666,anagheairid,,ɑnɑˈjaɾʲədʲ,an̪ijəɾˠəd̪
671,aneas,Connacht,əˈn̠ʲasˠ,an̪əsˠ
677,anocht,Munster; Connacht,əˈn̪ˠɔxt̪ˠ,an̪əxt̪
676,anocht,Connacht,əˈnˠɔxt̪ˠ,an̪əxt̪
679,anois,,,an̪iʃ
680,anois,Connacht,əˈnʲiʃ,an̪iʃ
685,aníos,,əˈn̠ʲiːsˠ,an̪əsˠ
699,aon,,,iːn̪
702,aon déag,,eːn̠ʲ dʲeːɡ,iːn̪ dʲɑg
703,aonad,,ˈeːnˠəd̪ˠ,iːn̪əd̪
707,aonmhac,Ulster; Connacht,"ˈeːnˠˌwak, ˈeːn̪ˠˌwak",iːnvˠək
708,aonraic,,ˈeːn̪ˠɾˠɪc,iːn̪ɾˠic
715,ar a fhad,,əɾʲˈad̪ˠ,ɑːɾˠ a ad̪
719,ar an ásc san,,ɛɾʲ ənˠ ˈɑːsk sˠən̪ˠ,ɑːɾˠ an̪ ask sˠan̪
720,ar an ásc sin,Connacht,ɛɾʲ ənˠ ˈɑːsk ʃɪnʲ,ɑːɾˠ an̪ ask ʃɪn̪
721,ar aon chaoi,,ɛɾʲ eː ˈxiː,ɑːɾˠ iːn̪ xiː
722,ar bith,,"əˈbʲɪ(h), ɛɾʲˈbʲɪ(h)",ɑːɾˠ bʲɪç
723,ar bord,,ɛɾʲ ˈbˠoːɾˠd̪ˠ,ɑːɾˠ bˠɔɾˠd̪
724,ar buile,Ulster; Connacht,ˈeɾʲˈbˠi.lʲə,ɑːɾˠ bˠɪl̪ə
725,ar bun,,ɛɾʲ ˈbˠʊnˠ,ɑːɾˠ bˠʊn̪
726,ar bís,,əɾˠˈbʲiːʃ,ɑːɾˠ bʲɪʃ
727,ar chor ar bith,,ə ˌxɔɾˠ əˈbʲɪ(h),ɑːɾˠ xɔɾˠ ɑːɾˠ bʲɪç
728,ar chuma,,ɛɾʲˈxʊmˠə,ɑːɾˠ xʊmˠʊ̽
729,ar cuaird,,ɛɾʲ ˈkuəɾˠdʲ,ɑːɾˠ kuaiɾʲd̪
730,ar cuairt,,ɛɾʲˈkuəɾˠtʲ,ɑːɾˠ kuaiɾʲt̪
731,ar deighilt,Munster; Connacht,ɛɾʲˈdʲəilʲtʲ,ɑːɾˠ dʲɛjəltʲ
732,ar dtúis,,ɛɾˠˈd̪ˠuːʃ,ɑːɾˠ d̪ɪsˠ
733,ar dtús,,əɾˠˈd̪ˠuːsˠ,ɑːɾˠ d̪ʊsˠ
736,ar gcúl,,"eɾʲˈɡuːlˠ, eɾʲˈɡuːl̪ˠ, əɾʲˈɡuːlˠ",ɑːɾˠ gʊl̪
737,ar leith,,ɛɾʲˈl̠ʲɛh,ɑːɾˠ l̪ɛç
738,ar maidin,,ɛɾʲ ˈmˠadʲənʲ,ɑːɾˠ mˠaidʲən̪
740,ar oscailt,,ɛɾʲ ˈɔsˠkɪlʲtʲ,ɑːɾˠ ʊsˠkʊ̽l̪t̪
741,ar scáth,Connacht,ɛɾʲˈsˠkɑː,ɑːɾˠ sˠka
742,ar scáth a,Connacht,ɛɾʲˈsˠkɑː(ə),ɑːɾˠ sˠka a
744,ar siúl,,ɛɾʲ ˈʃuːlˠ,ɑːɾˠ ʃɪəl̪
746,ar son,Munster; Connacht,ɛɾʲˈsˠɔnˠ,ɑːɾˠ sˠʊn̪
745,ar son,Connacht,ɛɾʲˈsˠʊnˠ,ɑːɾˠ sˠʊn̪
747,ar tí,,ɛɾʲˈtʲiː,ɑːɾˠ tʲɪ
750,arc,,aɾˠk,ɑːrk
753,arda,,ˈɑːɾˠd̪ˠə,aɾˠd̪ə
754,ardaigh,Connacht,"ˈɑːɾˠd̪ˠiː, ˈɑːɾˠd̪ˠə",aɾˠd̪ə
755,ardchlár,Connacht,ˈɑːɾˠd̪ˠˌxlˠɑːɾˠ,aɾˠd̪xl̪əɾˠ
757,ardghlórach,Connacht,ˈɑːɾˠd̪ˠˌɣlˠoːɾˠəx,aɾˠd̪ɣl̪əɾˠəx
759,ardú,Connacht,ˈɑːɾˠd̪ˠuː,aɾˠd̪ə
766,arán,Connacht,"(ə)ˈɾˠɑːnˠ, (ə)ˈɾˠɑːn̪ˠ",aɾˠən̪
767,aréir,Munster; Connacht,əˈɾˠeːɾʲ,aɾʲiɾʲ
768,arís,,əˈɾʲiːʃ,aɾʲiʃ
771,arú amárach,,əɾˠuːˈmˠɑːɾˠəx,aɾˠə amˠəɾˠəx
774,as cosa i dtaca,,əsˠ ˌkɔsˠə ˈd̪ˠɑkə,asˠ kʊsˠʊ̽ ɪ d̪akə
795,atáthar,Munster; Connacht,əˈt̪ˠɑːhəɾˠ,at̪əhəɾˠ
796,aíocht,,iəxt̪ˠ,aəxt̪
842,balla,,,bˠal̪ˠə
858,baoth,,,bˠiː
894,bearna baoil,,ˌbʲɑːɾˠn̪ˠə ˈbˠiːlʲ,bʲæɾˠn̪ə bˠiːl̪
938,bhFionlainnis,,ˈvʲɪn̪ˠl̪ˠən̠ʲɪʃ,wɪn̪l̪ən̠ʲiʃ
939,bhFrainc,,vˠɾˠaɲc,wɾˠaink
940,bhFranc,,ˈvˠɾˠaŋk,wɾˠank
976,bhf,,"vʲ, w",w
981,bhfalla,,,wal̪ˠə
984,bhfeaca,,ˈvʲakə,wakə
986,bhfear,,vʲaɾˠ,wɑːɾˠ
987,bhfearthainn,Ulster; Kerry; Cork; Connacht,ˈvʲaɾˠhən̠ʲ,waɾˠhən̠ʲ
988,bhfeice,,ˈvʲɛcɪ,wɛkə
989,bhfeiceanna,,ˈvʲɛcən̪ˠə,wɛkən̪ˠə
991,bhfeicfinn,Ulster; Connacht,ˈvʲɛcɪn̠ʲ,wɛkfˠən̠ʲ
992,bhfeicinn,,,wɛkən̠ʲ
995,bhfeighil,,vʲəilʲ,wɛjəl̪
996,bhfeileann,,ˈvʲɛlʲən̪ˠ,wɛl̪ən̪ˠ
998,bhfeis,,vʲɛʃ,wɛsˠ
999,bhfeoil,Munster; Connacht,vʲoːlʲ,woːl̪
1000,bhfeolta,Munster; Connacht,ˈvʲoːl̪ˠt̪ˠə,woːl̪t̪ə
1001,bhfiacha,,ˈvʲiəxə,wiəxə
1003,bhfiche,Ulster; Connacht,ˈvʲɪçə,wɪçi
1005,bhfir,,vʲɪɾʲ,waɾˠ
1010,bhfréimh,,vʲrʲeːvʲ,wɾˠeiː
1012,bhfuil,,bˠilʲ,wɪl̪
1023,bhféar,Ulster; Connacht,vʲeːɾˠ,wɑːɾˠ
1024,bhfíodóirí,Connacht,ˈvʲiːd̪ˠoːɾʲiː,wɪd̪əɾˠə
1025,bhfís,,vʲiːʃ,wɪsˠ
1031,bhlais,Connacht,"wlˠaʃ, wl̪ˠaʃ",vˠl̪aisˠ
1035,bhláth,Connacht,"wlˠɑː, wl̪ˠɑː",vˠl̪a
1039,bhoicht,,"vˠɔxtʲ, wɔxtʲ",wɛxtʲ
1048,bhrád,Connacht,wɾˠɑːd̪ˠ,vˠɾˠad̪
1057,bhur,Connacht,ə,wɔɾˠ
1303,buille,,,bˠɪl̠ʲə
1325,buí,,,bˠɪ
1416,caidhp bháis,Connacht,ˌkaipʲ ˈwɑːʃ,caidhp bháis
1419,caighdeán,Connacht,ˈkəidʲɑːnˠ,caighdeán
1420,caighdeánach,Connacht,ˈkəidʲɑːnˠəx,caighdeánach
1526,carr,,,kɑːɾˠ
1529,carr patróil,Connacht,ˌkɑːɾˠ ˈpat̪ˠɾˠoːl̠ʲ,kɑːɾˠ pˠat̪ɾˠəl̪
1540,cart,,kɑɾˠt̪ˠ,cɑːɾˠt̪
1606,ceathair déag,,"dje ˈcahəɾʲ, ˈcahəɾʲ jeːɡ",cɑhəɾˠ dʲɑg
1618,ceird,Aran; Connacht,kaiɾʲdʲ,cəiɾʲd̪
1627,ceithre,Connacht,ˈçɛɾʲə,cɛçɾʲi
1631,ceol,,,coːl̪
1641,cha,,ha(ː),xa
1678,cheana,,"ˈhanˠə, ˈhan̪ˠə",çan̪ə
1689,cheird,Aran; Connacht,xaiɾʲdʲ,çəiɾʲd̪
1720,chléibh,,"çlʲeːvʲ, çlʲɛi̯vʲ",xl̪eiː
1722,chneasta,Ulster; Connacht,ˈçɾʲasˠt̪ˠə,xn̪asˠt̪ə
1738,chonaic,Mayo; Connacht,ˈhanʲic,xʊn̪ic
1745,chreach,,çɾʲax,xɾʲæx
1746,chreid,Munster; Connacht,çɾʲɛdʲ,xɾʲɛdʲ
1770,chuimhnigh,Connacht,ˈxivʲnʲiː,chuimhnigh
1772,chuimhnigh,Mayo; Connacht,ˈxĩvʲɾʲiː ~ ˈximʲɾʲiː ~ ˈxĩvʲnʲiː,chuimhnigh
1771,chuimhnigh,Galway; Connacht,ˈxivʲnʲə,chuimhnigh
1775,chuir i dtaisce,,ˌxɪɾʲ əˈd̪ˠaʃcɪ,xəiɾʲ ɪ d̪aisˠkə
1896,cleas,,clʲasˠ,kl̪asˠ
1897,cleasach,Munster; Connacht,ˈclʲasˠəx,kl̪asˠəx
1898,cleasaí,Connacht,ˈclʲasˠiː,kl̪asˠə
1899,cleite,,ˈclʲɛtʲə,kl̪ɛtʲi
1900,cleith,,clʲɛ(h),kl̪ɛç
1901,cleithire,,ˈclʲɛhəɾʲə,kl̪ɛçiɾʲi
1903,cliath,,clʲiə,kl̪iə
1904,clibirt,,ˈclʲɪbʲəɾˠtʲ,kl̪ɪbʲiɾʲt̪
1905,clibín,Ulster; Connacht,ˈclʲɪbʲiːnʲ,kl̪ɪbʲən̪
1906,clismirt,,"ˈclʲiʃmʲəɾˠtʲ, ˈclʲɨsˠmˠəɾˠtʲ, ˈɟlʲɨsˠmˠəɾˠtʲ",kl̪ɪʃmʲiɾʲt̪
