tags	ipa	word
Connacht 	/bʲæn/	bean
Connacht 	/bʲæːn̪ˠ/	bean
Connacht ; Ulster 	/bʲanˠ/	bean
Connacht ; Ulster 	/bʲan̪ˠ/	bean
Connacht ; Munster 	/ˈpˠɑkə/	paca
Connacht ; Connacht ; Ulster 	/ˈpˠakə/	paca
Connacht ; Munster 	/pˠʊsˠ/	pus
Connacht ; Munster 	/tʲoː/	teo
Connacht ; Munster 	/tʲoː/	teo
Connacht 	[ɡaːd̪ˠ]	gad
Connacht 	[ɡaːd̪ˠ]	gad
Connacht 	[ɡaːd̪ˠ]	gad
Connacht 	/ɡiːlˠ/	gaol
Connacht 	/t̪ˠəul̪ˠ/	toll
Connacht 	/t̪ˠəul̪ˠ/	toll
Connacht ; Munster 	/bˠɑːɾˠd̪ˠ/	bard
Connacht 	/ˈɡeːlʲɟɪ/	Gaeilge
Connacht ; Ulster 	/ˈɡeːlʲɪc/	Gaeilge
Connacht 	/fʲiːl̠ʲ/	fill
Connacht ; Ulster 	/fʲɪl̠ʲ/	fill
Connacht 	/fʲiːl̠ʲ/	fill
Connacht ; Ulster 	/fʲɪl̠ʲ/	fill
Connacht 	/ɡɔbˠ/	gob
Connacht 	/ɡɔbˠ/	gob
Connacht 	/kɑːmˠ/	cam
Connacht ; Ulster 	/kamˠ/	cam
Connacht ; Munster 	/kʊɾˠ/	cur
Connacht 	/d̪ˠɾˠɛdʲ/	druid
Connacht 	/ˈd̪ˠɞɾˠədʲ/	druid
Connacht ; Ulster 	/ˈfˠɔkəlˠ/	focal
Connacht ; Ulster 	/ˈfˠɔkəl̪ˠ/	focal
Connacht 	/ɡɑ(ː)l̪ˠ/	gall
Connacht 	/ɡɑːl̪ˠ/	gall
Connacht 	/ɡɑ(ː)l̪ˠ/	gall
Connacht 	/ɡɑːl̪ˠ/	gall
Connacht ; Ulster 	/mˠaɾˠk/	marc
Connacht ; Ulster 	/mˠaɾˠk/	marc
Connacht 	/sˠlɑt̪ˠ/	slat
Connacht 	/sˠl̪ˠat̪ˠ/	slat
Connacht 	[sˠl̪ˠaːt̪ˠ]	slat
Connacht ; Ulster 	/sˠl̪ˠat̪ˠ/	slat
Connacht 	/t̪ˠɪlʲ/	toil
Connacht 	/mˠɑːl̪ˠ/	mall
Connacht 	/mˠal̪ˠ/	mall
Connacht ; Munster 	/t̪ˠɑɾˠt̪ˠ/	tart
Connacht ; Connacht ; Ulster 	/t̪ˠaɾˠt̪ˠ/	tart
Connacht 	/ˈtʲiː/	tithe
Connacht ; Munster 	/bˠɑk/	bac
Connacht ; Connacht ; Ulster 	/bˠak/	bac
Connacht ; Munster 	/bˠɑk/	bac
Connacht ; Connacht ; Ulster 	/bˠak/	bac
Connacht 	/ʃæːn̪ˠ/	sean
Connacht 	/ʃæːn̪ˠ/	sean
Connacht ; Munster 	/ɾˠoː/	ró
Connacht ; Munster 	/bˠɑː/	bá
Connacht ; Munster 	/bˠɑː/	bá
Connacht ; Munster 	/bˠɑː/	bá
Connacht ; Munster 	/n̪ˠɔd̪ˠ/	nod
Connacht 	/sˠl̪ˠuɡ/	slog
Connacht 	/ˈsl̪ˠiɟ/	slog
Connacht 	/fˠɾˠoːbˠ/	freo
Connacht 	/pˠɑul̪ˠ/	poll
Connacht 	/pˠɑul̪ˠ/	poll
Connacht ; Munster 	/sˠt̪ˠɑd̪ˠ/	stad
Connacht ; Connacht ; Ulster 	/sˠt̪ˠad̪ˠ/	stad
Connacht ; Munster 	/sˠt̪ˠɑd̪ˠ/	stad
Connacht ; Connacht ; Ulster 	/sˠt̪ˠad̪ˠ/	stad
Connacht ; Munster 	/ˈɡɑːɾˠd̪ˠə/	garda
Connacht ; Munster 	/d̪ˠɑːlʲ/	dáil
Connacht ; Munster 	/d̪ˠɑːlʲ/	dáil
Connacht ; Munster 	[ˈt̪ˠiːʃəx]	Taoiseach
Connacht 	/ˈt̪ˠɑːnˠəʃtʲə/	tánaiste
Connacht 	/ˈt̪ˠɑːnˠəʃtʲə/	tánaiste
Connacht ; Munster 	/mʲɪlʲ/	mil
Connacht ; Munster 	/sˠoː/	só
Connacht 	/bʲæŋk/	banc
Connacht 	/bʲæŋk/	banc
Connacht ; Munster 	/bʲɞɡ/	beag
Connacht ; Munster 	/bʲɞɡ/	beag
Connacht ; Munster 	[ˈɡeːl̪ˠt̪ˠəxt̪ˠ]	Gaeltacht
Connacht 	/l̠ʲəuɾˠ/	leabhar
Connacht 	/l̠ʲəuɾˠ/	leabhar
Connacht 	/l̠ʲəuɾˠ/	leabhar
Connacht 	/l̠ʲəuɾˠ/	leabhar
Connacht 	/ˈbˠuəxəl̠ʲ/	buachaill
Connacht 	/ˈbˠɔxəl/	buachaill
Connacht 	/ˈbˠɑl̪ˠə/	balla
Connacht ; Connacht ; Ulster 	/ˈbˠal̪ˠə/	balla
Connacht ; Munster 	/ˈmʲinʲ/	min
Connacht ; Munster 	/ˈmʲinʲ/	min
Connacht ; Munster 	/ɡɑl̪ˠ/	gal
Connacht ; Connacht ; Ulster 	/ɡalˠ/	gal
Connacht ; Connacht ; Ulster 	/ɡal̪ˠ/	gal
Connacht ; Munster 	/ɡɑl̪ˠ/	gal
Connacht ; Connacht ; Ulster 	/ɡalˠ/	gal
Connacht ; Connacht ; Ulster 	/ɡal̪ˠ/	gal
Connacht ; Connacht 	/ˈamˠəd̪ˠɑːn̪ˠ/	amadán
Connacht 	/ˈamˠəd̪ˠɑːnˠ/	amadán
Connacht ; Connacht 	[ˈaːmˠəd̪ˠɑːn̪ˠ]	amadán
Connacht ; Connacht 	/ˈamˠəd̪ˠaːnˠ/	amadán
Connacht 	/ˈumˠəd̪ˠaːnˠ/	amadán
Connacht 	[ˈamˠəd̪ˠɑːnʲ]	amadáin
Connacht ; Munster 	/mˠn̪ˠɑː/	mná
Connacht ; Munster 	[mˠn̪ˠɑ̃ː]	mná
Connacht ; Connacht 	/mˠɾˠɑː/	mná
Connacht 	/ˈbˠoːɾˠ/	bóthar
Connacht ; Munster 	/ˈboːhəɾʲ/	bóthair
Connacht ; Munster 	/ˈkɔsˠə/	cosa
Connacht ; Munster 	/bˠɾˠoːɡ/	bróg
Connacht 	[ˈbˠɾˠoːɡə]	bróga
Connacht 	[ˈbˠɾˠoːɡiː]	bróga
Connacht 	/klˠɑːn̪ˠ/	clann
Connacht 	/kl̪ˠɑːn̪ˠ/	clann
Connacht ; Ulster 	/klˠan̪ˠ/	clann
Connacht 	/ˈklˠɪn̠ʲə/	clainne
Connacht 	/ˈkalʲiːnʲ/	cailín
Connacht 	/ˈkalʲiːnʲiː/	cailíní
Connacht ; Connacht 	[ˈkaːlʲiːnʲiː]	cailíní
Connacht 	/d̪ˠɾˠiːmʲ/	droim
Connacht ; Ulster 	/d̪ˠɾˠɪmʲ/	droim
Connacht ; Munster 	/l̠ʲoːɾˠ/	leor
Connacht 	/ˈɡɔbˠiː/	goba
Connacht 	/ˈkiːvʲiːnʲ/	Caoimhín
Connacht 	/ˈl̪ˠʊxəɾˠəxɑːnˠ/	lucharachán
Connacht 	[ˈoːn̠ʲʃiː]	óinsí
Connacht 	[ˈfˠɑːn̠ʲiː]	fáinní
Connacht 	[ˈfˠɑːn̠ʲiː]	fáinní
Connacht 	/ˈfˠɑːn̠ʲə/	fáinne
Connacht 	[ˈpˠɛtʲiːnʲ]	poitín
Connacht 	[ˈʃiːbʲiːnʲ]	síbín
Connacht 	/ˈsˠmʲɪdʲəɾʲiːnʲiː/	smidiríní
Connacht 	/ˈtʲil̠ʲə/	tuilleadh
Connacht ; Ulster 	/ˈtʲil̠ʲuː/	tuilleadh
Connacht 	/ˈtʲil̠ʲəvˠ/	tuilleadh
Connacht 	/ˈtʲil̠ʲətʲ/	tuilleadh
Connacht 	/ˈtʲil̠ʲəx/	tuilleadh
Connacht ; Ulster 	/ˈtʲil̠ʲətʲ/	tuilleadh
Connacht ; Ulster 	/ˈtʲil̠ʲuː/	tuilleadh
Connacht 	/ˈbʲahə/	beatha
Connacht 	/ˈbʲæhə/	beatha
Connacht 	/ˈbʲaː/	beatha
Connacht 	/ˈbʲahə/	beatha
Connacht 	/ˈbʲæhə/	beatha
Connacht 	/ˈbʲaː/	beatha
Connacht ; Munster 	/ˈɡɔbˠə/	gobadh
Connacht 	/ˈɡɔbˠuː/	gobadh
Connacht 	/ˈɡɔbˠətʲ/	gobadh
Connacht 	/ˈɡɔbˠəx/	gobadh
Connacht 	/ˈɡɔbˠətʲ/	gobadh
Connacht 	/ˈɡɔbˠuː/	gobadh
Connacht ; Munster 	/t̪ˠɑː/	tá
Connacht 	/ɾˠʊ/	rith
Connacht 	/ɾˠʊ/	rith
Connacht 	/ˈiːhə/	ithe
Connacht 	/ˈiː.ə/	ithe
Connacht 	/iə/	ithe
Connacht 	/iː/	ithe
Connacht 	/i/	ithe
Connacht ; Ulster 	/ˈiçə/	ithe
Connacht 	/iː/	ith
Connacht 	/iː/	ith
Connacht 	/oːlˠ/	ól
Connacht 	/oːl̪ˠ/	ól
Connacht 	/oːlˠ/	ól
Connacht 	/oːl̪ˠ/	ól
Connacht ; Munster 	/ˈɡɑːɾʲə/	gáire
Connacht ; Munster 	/ˈɡɑːɾʲə/	gáire
Connacht 	/ˈɡɑːɾʲiː/	gáirí
Connacht 	/ɡɔlˠ/	gol
Connacht 	/ɡɔl̪ˠ/	gol
Connacht 	/ɡɞl/	goil
Connacht 	/kanʲtʲ/	caint
Connacht 	/kan̠ʲtʲ/	caint
Connacht ; Connacht 	[kaːn̠ʲtʲ]	caint
Connacht 	/tʲeːj/	téigh
Connacht 	/tʲəi/	téigh
Connacht ; Ulster 	/tʲeːj/	téigh
Connacht 	/xuə/	chuaigh
Connacht 	/fˠuə/	chuaigh
Connacht 	/fˠuəj/	chuaigh
Connacht 	/ˈdʲaxə/	deachaigh
Connacht 	/ˈdʲaxiː/	deachaigh
Connacht ; Ulster 	/d̪ˠʊlˠ/	dul
Connacht ; Ulster 	/d̪ˠʊl̪ˠ/	dul
Connacht ; Ulster 	/d̪ˠʊlˠ/	dul
Connacht ; Ulster 	/d̪ˠʊl̪ˠ/	dul
Connacht ; Ulster 	/d̪ˠʊlˠ/	dul
Connacht ; Ulster 	/d̪ˠʊl̪ˠ/	dul
Connacht 	/ˈhɑːnʲɪc/	tháinig
Connacht 	/ˈhɑːɲc/	tháinig
Connacht 	/ˈha(ː)nʲɪc/	tháinig
Connacht 	/ˈtʲukə/	tiocfaidh
Connacht 	/ˈtʲukə/	tiocfaidh
Connacht 	/ˈtʲukiː/	tiocfaidh
Connacht 	/tʲæxt̪ˠ/	teacht
Connacht 	[tʲæːxt̪ˠ]	teacht
Connacht 	/tʲæxt̪ˠ/	teacht
Connacht 	[tʲæːxt̪ˠ]	teacht
Connacht 	/ˈt̪ˠakə/	tagtha
Connacht ; Munster 	/ˈpˠɑːʃtʲə/	páiste
