word,tags,ipa,results
-fimid,,həmʲədʲ,fʲɪmʲidʲ
-fimis,,həmʲəʃ,fʲɪmʲiʃ
-inn,,ən̠ʲ,ɪn̪n̪
-mid,,mʲədʲ,mʲɪdʲ
-sa,,sˠə,sˠɑ
-san,,"sˠənˠ, sˠən̪ˠ",sˠɑn̪
-ím,,iːmʲ,ɪmʲ
-íos,,iːsˠ,ɪsˠ
-ítear,,iːtʲəɾˠ,ɪtʲəɾˠ
-ófá,,"oːfˠaː, oːhaː",ɔfˠə
-óimid,,oːmʲədʲ,ɛmʲidʲ
-ós,,oːsˠ,ɔsˠ
Airméanach,,ˈaɾʲəmʲeːnˠəx,aiɾʲmʲən̪əx%1
Airméinis,,ˈaɾʲəmʲeːnʲəʃ,aiɾʲmʲən̪iʃ
Alastar,,ˈal̪ˠəsˠt̪ˠəɾˠ,ɑl̪əsˠt̪əɾˠ
Albain,,"ˈalˠəbˠənʲ, ˈal̪ˠəbˠənʲ",ɑlbʲən̪
Baile Brigín,Connacht,"ˌbˠalə ˈbʲɾʲɪɟiːnʲ, ˌbˠælə ˈbʲɾʲɪɟiːnʲ, ˌbˠɑːlʲə ˈbʲɾʲɪɟiːnʲ",bʲail̪ə bɾʲɪɟən̪
Bairbre,,ˈbˠaɾʲəbʲɾʲə,bʲaiɾʲbɾʲi
Bascais,,ˈbˠasˠkəʃ,bˠɑsciʃ
Bré,,bʲɾʲeː,bɾʲɛ
Carghais,Connacht,ˈkaɾˠiːʃ,kɑrɟçiʃ
Ceallach,Connacht,ˈcal̪ˠəx,cɑl̪l̪əx%1
Ch,,"x, ç",k
Cheatharlach,Munster; Connacht,ˈçahəɾˠl̪ˠəx,cçɑt̪həɾˠl̪əx%1
Cincís,Connacht,ˈcɪɲciːʃ,cɪnciʃ
Cóiréis,Connacht,ˈkoːɾʲeːʃ,cɛɾʲiʃ
Daingean,Connacht,"ˈd̪ˠaŋənˠ, ˈd̪ˠaŋən̪ˠ, ˈd̪ˠæŋənˠ, ˈd̪ˠæŋən̪ˠ",dʲainɟən̪
Deirdre,,ˈdʲɛɾˠdʲɾʲə,dʲɛɾʲdɾʲi
Deireadh Fómhair,,dʲeɾʲə fuːwəɾʲ,dʲɛɾʲə%1 fˠɛmʲçiɾʲ
Dia dhuit,,ˌdʲiə ˈɣɪtʲ,dʲiə d̪hɪtʲ
Dia duit,,ˌdʲiə ˈd̪ˠɪtʲ,dʲiə d̪ɪtʲ
Eastóinis,,"asˠˈtˠoːnʲɪʃ, ˈasˠtˠoːnʲɪʃ",ɑstʲən̪iʃ
Feardorcha,,ˈfʲaɾˠd̪ˠɔɾˠəxə,fʲæɾˠd̪əɾˠkhə
Fearghas,Connacht,ˈfʲæːɾˠiːsˠ,fʲæɾˠghəsˠ
Fine Gael,,ˌfʲɪnʲə ˈɡeːlˠ,fʲɪn̪ə ɟeːl̪
Fionlainnise,,ˈfʲɪn̪ˠl̪ˠən̠ʲɪʃə,fˠɪn̪l̪ən̪n̪iʃi
Fraincis,,ˈfˠɾˠaɲcɪʃ,fɾʲainciʃ
Gaedhlaing,,ˈɡeːlɪɲ,ɟeːdʲhl̪əng
Garda Síochána,Connacht,"ˈɡɑːɾˠd̪ˠə ˈʃiːxɑːnˠə, ˈɡɑːɾˠd̪ˠə ˈʃiːxɑːn̪ˠə",gɑɾˠd̪ə sˠɪkhən̪ə
Giúdach,Munster; Connacht,ˈɟuːd̪ˠəx,ɟɪəd̪əx%1
Idirlíon,,"-ˌl̠ʲiːnˠ, ˈɪdʲəɾʲˌl̠ʲiːn̪ˠ",ɪdʲiɾʲl̪ən̪
Iúil,,uːlʲ,ɪəl̪
Laois,,l̪ˠiːʃ,l̪ɑiʃ
Mhacha,,ˈwaxə,mˠhɑkhə
