tags,ipa,word,tags_
Ulster Irish,/ˈãːl̪ˠəʃ/,anglais,
,/ˈfʲɪlʲə/,file,
Ulster Irish; ,/ˈfʲɨ̞lʲə/,file,
Ulster Irish,/bʲɾʲɨ̞sˠt̪ˠ/,breast,
,/l̪ˠasˠ/,las,
Ulster Irish,/l̪ˠɔsˠ/,las,
Ulster Irish,/kal̪ˠ/,call,Ulster Irish
,/ʃa/,sea,
,/ʃɪɾʲ/,sir,
,[d̪ˠɔʃ],dois,
,/bˠok/,boc,
,[bˠʌk],boc,
,[bˠɔk],boc,
Munster Irish,/kɞɾˠ/,cor,
Ulster Irish,/kʌɾˠ/,cor,
,/kɔnˠ/,con,
Connacht Irish; Munster Irish,/ˈkɑsˠə/,casa,
Connacht Irish; Connacht Irish; Ulster Irish,/ˈkasˠə/,casa,
Munster Irish,/ˈnʲoːn̪ˠ/,neon,
Connacht Irish; Ulster Irish,/ˈn̠ʲoːnˠ/,neon,
Connacht Irish; Ulster Irish,/ˈn̠ʲoːn̪ˠ/,neon,
,/bˠʊsˠ/,bus,
Connacht Irish,/bˠɞsˠ/,bus,
,/d̪ˠoːɾˠd̪ˠ/,dord,
Munster Irish,/sˠeːɾˠ/,saor,
Connacht Irish,/sˠiːɾˠ/,saor,
Ulster Irish,/sˠiːɾˠ/,saor,
Ulster Irish,/sˠɯːɾˠ/,saor,
,/n̪ˠə/,na,
,/ɛɾʲ/,ar,
,/ɡa/,ga,
Connacht Irish,/ˈɡɞhə/,ga,
Ulster Irish,/ɡah/,ga,
,/t̪ˠaɾˠ/,tar,
,/h/,Th,
Munster Irish,/aumˠ/,am,
Connacht Irish,/ɑːmˠ/,am,
Connacht Irish,/amˠ/,am,
Connacht Irish; Ulster Irish,/amˠ/,am,
,/əmˠ/,am,
,/w/,Bh,
,/pʲɪʃ/,pis,
,/bʲiə/,bia,
Munster Irish,/ɑxt̪ˠ/,acht,
Connacht Irish; Ulster Irish,/axt̪ˠ/,acht,
,/a/,ea,
,/ja/,ea,
Connacht Irish; Munster Irish,/ˈʃɪnʲə/,sine,
Ulster Irish,/ˈʃɪn̠ʲə/,sine,
,/sˠalʲ/,sail,
,/fˠanˠ/,fan,
,/fˠalʲ/,fail,
,/bʲax/,beach,
,/ˈɔlˠə/,ola,
,/ʃiː/,sí,
,[ˈal̪ˠ.t̪ˠəɾˠ],altar,
Connacht Irish; Munster Irish,/ɑx/,ach,
Connacht Irish,/ax/,ach,
Connacht Irish,[aːx],ach,
Ulster Irish,/ax/,ach,
Ulster Irish,/ah/,ach,
,/aɾˠk/,arc,
,/ˈkɔbˠɾˠə/,cobra,
,[fˠaɾʲ],fair,
,/tʲeː/,té,
,/kɔsˠ/,cos,
Munster Irish,/kɔsˠ/,cos,
Munster Irish,/kɞsˠ/,cos,
,/ˈd̪ˠɾˠamˠə/,drama,Connacht Irish
,/d̪ˠənˠ/,don,
Connacht Irish,/ɡənˠ/,don,
,/d̪ˠɔnˠ/,don,
Ulster Irish,/d̪ˠʌnˠ/,don,
,/ˈl̠ʲɪtʲə/,lite,
,/ʃasˠ/,seas,
Connacht Irish,/ʃæsˠ/,seas,
Connacht Irish; Munster Irish,/l̪ˠɔɡ/,log,
Ulster Irish,/l̪ˠʌɡ/,log,
,/l̪ˠʌɡ/,lug,
,/ɾˠɔsˠ/,ros,
Connacht Irish; Munster Irish,/ˈʊɾˠsˠə/,ursa,
Ulster Irish,/ˈʌɾˠsˠə/,ursa,
,/lʲoː/,leo,
Connacht Irish,/lʲoːbˠ/,leo,
Ulster Irish,/ˈlʲɔːfˠə/,leo,
Munster Irish,/lʲoː/,leo,
Connacht Irish,/l̠ʲoː/,leo,
Ulster Irish,/l̠ʲɔː/,leo,
,[ˈdʲɪnʲ],dein,Munster Irish
,/n̪ˠax/,nach,
,/bʲɛd̪ˠ/,bead,
,/ɡaɾˠ/,gar,
Connacht Irish,/ɡɑ(ː)ɾˠ/,gar,
,[fˠɾˠɔɡ],frog,
Munster Irish,/t̪ˠoumˠ/,tom,
Connacht Irish,/t̪ˠuːmˠ/,tom,
Connacht Irish,/t̪ˠʊmˠ/,tom,
Ulster Irish,/t̪ˠʌmˠ/,tom,
Munster Irish,/n̪ˠõːsˠ/,nós,
Connacht Irish,/n̪ˠuːsˠ/,nós,
Ulster Irish,/n̪ˠõːsˠ/,nós,
,/kɑɾˠt̪ˠ/,cart,
,/ˈkan̪ˠt̪ˠəɾˠ/,cantar,
,/ˈpˠlˠʊmˠə/,pluma,
,/t̪ˠɔɾˠ/,tor,
Munster Irish,/t̪ˠʌɾˠ/,tor,
,/dʲɛnˠ/,den,
,/dʲənˠ/,den,
,/ɡənˠ/,den,
Ulster Irish,/ˈbˠʌsˠ/,bos,
,/d̪ˠɔmˠ/,dom,
,/d̪ˠəmˠ/,dom,
Connacht Irish,/d̪ˠʊmˠ/,dom,
Connacht Irish; Munster Irish,/mˠɑːsˠ/,más,
Connacht Irish; Munster Irish,/mˠɑːʃ/,más,
Ulster Irish,/mˠaːsˠ/,más,
Ulster Irish,/mˠaːʃ/,más,
,/kɾˠac/,craic,
,/d̪ˠɪtʲ/,duit,
Munster Irish,/d̪ˠɞtʲ/,duit,
,/bˠoːɾˠd̪ˠ/,bord,
Connacht Irish,/bˠɑuɾˠd̪ˠ/,bord,
Connacht Irish,/bˠəuɾˠd̪ˠ/,bord,
Munster Irish,/kl̪ˠɔɡ/,clog,
Connacht Irish,/klˠoɡ/,clog,
Ulster Irish,/klˠɞɡ/,clog,
,/dʲɪ/,di,
Connacht Irish; ,/dʲiː/,di,
Connacht Irish,/d̪ˠiː/,di,
,/fʲuː/,fiú,
,/ŋ/,ng,
,/d̪ˠɔsˠ/,dos,
Ulster Irish,/d̪ˠʌsˠ/,dos,
,[ˈkɔd̪ˠə],coda,
Connacht Irish; Munster Irish,/ˈɔl̪ˠə/,olla,
Ulster Irish,/ˈʌl̪ˠə/,olla,
Munster Irish,/ˈɑn̪ˠ/,an-,
Connacht Irish,/ˈɑːn/,an-,
Connacht Irish; Ulster Irish,/ˈan̪ˠ/,an-,
Connacht Irish,/ˈɑn/,an-,
,/sˠt̪ˠɪc/,stoic,
,/koːɾˠn̪ˠ/,corn,
Ulster Irish,/t̪ˠɔtʲ/,toit,
Ulster Irish,/kaːɾˠ/,cár,
,/ˈpˠasˠt̪ˠə/,pasta,
Munster Irish,/eːɾˠ/,aer,
Connacht Irish,/eːɾˠ/,aer,
Ulster Irish,/eːɾˠ/,aer,
Ulster Irish,[ɛːɾˠ],aer,
,/mˠaɾˠtˠ/,mart,
,/kɑbˠ/,cab,
,/kabˠ/,cab,
Connacht Irish,[kaːb],cab,
Munster Irish,/sˠɑinʲtʲ/,saint,
Ulster Irish,/sˠɪn̠ʲtʲ/,saint,
Connacht Irish; Munster Irish,/bˠun̪ˠ/,bun,
Connacht Irish,/bˠun/,bun,
Connacht Irish,/bˠɞn/,bun,
Ulster Irish,/bˠʌnˠ/,bun,
Ulster Irish,/bˠʌn̪ˠ/,bun,
,/ˈsˠmˠʊt̪ˠ/,smut,
,/fˠɾˠat̪ˠ/,frat,
,/ax/,each,
Connacht Irish,/auɾˠd̪ˠ/,ord,
Ulster Irish,/ɔːɾˠd̪ˠ/,ord,
,/kad̪ˠ/,cad,
,/kəd̪ˠ/,cad,
Connacht Irish; Munster Irish,/fˠɑd̪ˠ/,fad,
