word,tags,ipa,results
Abcáisis,,"abˠˈkaːʃɪʃ, ˈabˠkaːʃɪʃ",ɑbciʃiʃ
díograiseach,,ˈdʲiːɡɾˠəʃəx,d̪ɪgɾʲiʃəx
deargaim,Munster; Connacht,ˈdʲaɾˠɡəmʲ,dʲærɟimʲ
gin,,ˈɟɪnʲ,ɟɪn̪
ócáid,Connacht,ˈoːkɑːdʲ,ɛcidʲ
canúnach,Connacht,ˈkanˠuːnˠəx,kɑn̪ən̪əx
má,Munster; Connacht,mˠɑː,mˠɑ
a chara,,ə ˈxaɾˠə,ɑ xɑɾˠə
colbha,Connacht,ˈkɔlˠəvˠ,kɔlvə
chip,,çɪpʲ,çɪpʲ
gleoite,,ˈɟlʲoːtʲə,gl̪oːtʲi
Cásca,Munster; Connacht,ˈkɑːsˠkə,kɑsˠkə
fíona,,"ˈfʲiːnˠə, ˈfʲiːn̪ˠə",fˠɪn̪ə
gan,,"ɡənˠ, ɡən̪ˠ",gɑn̪
-fí,,"fʲiː, hiː",fʲɪ
abairt,,ˈabˠəɾˠtʲ,ɑbʲiɾʲt̪
Bé,,bʲeː,bʲɛ
gníomh,Ulster; Connacht,ɟɾʲĩːw,gɾˠɪoː
macánta,Connacht,ˈmakɑːn̪ˠt̪ˠə,mˠɑkən̪t̪ə
praghas,,pɾˠəisˠ,pˠɾˠəiəsˠ
úr,,uːɾˠ,əuɾˠ
dise,,ˈdʲɪʃə,dʲɪʃi
moch,Connacht,mˠɔx,mˠɔx
faillí,Ulster; Connacht,ˈfˠal̠ʲiː,fʲail̠ʲə
lasta,,ˈl̪ˠasˠt̪ˠə,l̪ɑsˠt̪ə
cic,,cɪc,cɪc
téigh,Ulster; Connacht,tʲəi,tʲjj
bonnán,Connacht,ˈbˠun̪ˠɑːnˠ,bˠɔn̪ˠən̪
ghrása,Munster; Connacht,ˈɣɾˠɑːsˠə,ɣɾˠɑsˠə
cheada,,ˈçad̪ˠə,çɑd̪ə
critic,,ˈcɾʲɪtʲɪc,kɾʲɪtʲic
seada,,ˈʃad̪ˠə,ʃɑd̪ə
chuarta,,xuəɾˠt̪ˠə,xuaɾˠt̪ə
tosta,,ˈt̪ˠɔsˠt̪ˠə,t̪ɔsˠt̪ə
plúchfaidh,,"ˈpˠlˠuːxə, ˈpˠl̪ˠuːxə",pˠl̪ʊxfʲə
deatach,Connacht,ˈdʲat̪ˠəx,dʲɑt̪əx
tréith,,tʲɾʲeː,tɾʲɛç
gheall,Mayo; Connacht,jal̪ˠ,jɑːl̪ˠ
chol,,xɔlˠ,xɔl̪
altar,,ˈal̪ˠ.t̪ˠəɾˠ,ɑl̪t̪əɾˠ
tchím,,ˈtʲiːmˠ,t̪çɪmʲ
thais,,haʃ,çaiʃ
dáir,,"d̪ˠaːɾʲ, d̪ˠɑːɾʲ",dʲɑːɾʲ
eif,,ɛfʲ,ɛfʲ
argóint,Ulster; Connacht,ˈaɾˠəɡoːnʲtʲ,ɑrɟən̪t̪
sách,Munster; Connacht,sˠɑːx,sˠɑx
fáilte,Ulster; Connacht,ˈfˠɑːl̠ʲtʲə,fʲailtʲi
lúfar,,ˈl̪ˠuːfˠəɾˠ,l̪ɔfˠəɾˠ
soir,Connacht,sˠɛɾʲ,ʃəiɾʲ
riabhóg,Connacht,ˈɾˠiəwoːɡ,ɾʲiəəəg
láib,Munster; Connacht,l̪ˠɑːbʲ,l̪aibʲ
cás,,"kaːsˠ, kɑːsˠ",kɑsˠ
lonnaithe,Connacht,ˈl̪ˠɔn̪ˠiː,l̪ɔn̠ʲiçi
dhiúil,,juːlʲ,jɪəl̪
is cuma,,əsˠ ˈkʊmˠə,ɪʃ kɔmˠə
fuaigh,Connacht,fˠu(ə),fʲɔə
huis,,hɪʃ,hɪʃ
ghustal,,"ˈɣʊsˠt̪ˠəlˠ, ˈɣʊsˠt̪ˠəl̪ˠ",ɣɔsˠt̪əl̪
nochtaim,Munster; Connacht,ˈn̪ˠɔxt̪ˠəmʲ,n̪ɔxtʲimʲ
Vicipéid,,vʲɪcɪpʲeːdʲ,vɪcipʲidʲ
séide,,ˈʃeːdʲə,ʃɛdʲi
cuingir,,"ˈkiɲəɾʲ, ˈkɪɲəɾʲ",kɪŋiɾʲ
fásaim,,ˈfˠɑːsˠəmʲ,fˠɑʃimʲ
shéan,,heːnˠ,ç'æn̪
cailceanna,,ˈkalʲkʲənə,cailcən̪ˠə
théas,,heːsˠ,çɑʃ
gcaoga,Ulster; Connacht,ˈɡiːɡə,giːgə
súile,,ˈsˠuːlʲə,sˠɪl̪ə
dte,,dʲɛ,d̪ɛ
Blarna,Munster; Connacht,ˈbˠlˠɑːɾˠn̪ˠə,bˠl̪ɑɾˠn̪ə
tiocfaid,,ˈtʲʊkədʲ,t̪ɪkfʲidʲ
stailc,Ulster; Connacht,sˠt̪ˠalʲc,stʲail̪ək
thar lear,,haɾˠˈl̠ʲaɾˠ,hɑːɾˠ l̪ɑːɾˠ
cairde,,"ˈkaːɾˠdʲə, ˈkɑːɾˠdʲə",caiɾʲdʲi
fána,Connacht,ˈfˠɑːnˠə,fˠɑn̪ə
Cabúl,,"kaˈbˠuːlˠ, kaˈbˠuːl̪ˠ",kɑbˠəl̪
tsnámh,Munster; Connacht,t̪ˠn̪ˠɑːvˠ,t̪sˠn̪əu
aonmhac,Ulster; Connacht,"ˈeːnˠˌwak, ˈeːn̪ˠˌwak",iːnvək
gach uile,Aran; uncommon; Connacht,ˈxɯlʲə(corresponding to the form,gɑx ɪl̪ə
scráib,,sˠkɾˠaːbˠ,sˠkɾʲaibʲ
bádóir,Connacht,ˈbˠɑːd̪ˠoːɾʲ,bˠɑdʲiɾʲ
Ceilteach,Connacht,ˈcɛl̠ʲtʲəx,cɛltʲəx
aerga,,ˈeːɾˠɡə,eːɾʲgə
cosc,,kɔsˠk,kɔsk
peictiúir,Connacht,ˈpʲɛctʲuːɾʲ,pʲɛctʲiiɾʲ
chion,Connacht,çɪnˠ,xɪn̪
pógtha,Munster; Connacht,ˈpˠoːkə,pˠɔghə
buabhall,Ulster; Connacht,ˈbˠuəwəl̪ˠ,bˠɔəəl̪ˠ
tiomáin,Connacht,ˈtʲɪmˠɑːnʲ,t̪ɪmʲən̪
iaguar,,ˈiəɡuəɾˠ,iəgəɾˠ
ndolaí,,ˈn̪ˠɔlˠiː,n̪ɔl̪ə
úir,,uːɾʲ,əiɾʲ
gustal,,"ˈɡʊsˠt̪ˠəlˠ, ˈɡʊsˠt̪ˠəl̪ˠ",gɔsˠt̪əl̪
liúr,,lʲuːɾˠ,l̪ɪəɾˠ
i bhfad ó shin,Ulster; Connacht,əˌwad̪ˠ oːˈhɪnʲ,ɪ vɑd̪ ɔ ç'ɪn̪
grean,,"ɟɾʲanˠ, ɟɾʲan̪ˠ",gɾʲɑn̪
chualabhair,,ˈxuəlˠəwəɾʲ,xual̪ivʲiɾʲ
Dhia,,jiə,jiə
harm,,ˈhaɾˠəmˠ,hɑɾˠəmˠ
glinn,,ˈɟlʲin̠ʲ,gl̪ɪn̠ʲ
móire,Munster; Connacht,ˈmoːɾʲə,mʲɛɾʲi
lile,,ˈl̠ʲɪlʲə,l̪ɪl̪ə
garraí,Connacht,"ˈɡaɾˠiː, ˈɡɑɾˠiː",gɑɾʲi
