bhlas	vˠlˠasˠ
óm	oːmˠ
buaile	ˈbˠuəlʲə
ní b'	nʲiːbʲ'
dóite	ˈd̪ˠótʲə
fichid	ˈfʲɪçɪdʲ
ngealach	ˈŋalˠəx
loca	ˈlˠɔkə
soic	sˠɪc
sail	sˠalʲ
mithid	ˈmʲɪhɪdʲ
cnoc	kɾˠɔk
seamróg	ˈʃamˠɾˠoːɡ
colm	kɔl̪ˠmˠ
-ófá	-ˈoːfˠɑː
calrach	ˈkal̪ˠɾˠəx
-ithe	-ɪhə
tchíonn	tʲçiːnʲ
nuachtán	ˈn̪ˠuəxt̪ˠɑːnˠ
gealt	ɟal̪ˠt̪ˠ
cab	kabˠ
i ndiaidh	əˈnʲiə
oidhre	ˈɛɾʲə
féidir	ˈfʲeːdʲɪɾʲ
sciúlán	ˈʃcuːlˠɑːnˠ
Sinn Féin	ʃɪnʲ ˈfʲeːnʲ
cairéad	ˈkaɾʲeːd̪ˠ
orca	ˈɔɾˠkə
dhuine	ˈɣɪnʲə
hab	habˠ
lasmuigh	ˈlˠasˠmˠə
ghiorria	ˈjiəɾˠiə
Taoiseach	ˈt̪ˠiːʃəx
sáfach	ˈsˠɑːfˠəx
log	lˠɔɡ
fulaingt	ˈfˠʊlˠəŋtʲ
bhflatha	ˈwlˠahə
faighfeá	ˈfˠafʲeɑː
maímh	mˠaíiː
bog	bˠɔɡ
Máiréad	ˈmˠɑːɾʲeːd̪ˠ
seagal	ˈʃaɡəlˠ
dtiocfainn	ˈdʲʊkfˠən̪ˠ
sluaite	ˈsˠlˠuətʲə
Aodh	ə
síob	ʃiːbʲ
chualas	ˈxuəlˠəsˠ
coisreacaim	ˈkɛʃɾʲəkəmʲ
taoiseach	ˈt̪ˠiːʃəx
Cathal	ˈkahəlˠ
leastar	ˈlʲasˠt̪ˠəɾˠ
sliogán	ˈʃlʲiəɡɑːnˠ
mar sin féin	mˠəɾˠ ʃɪnʲ ˈfʲeːnʲ
scríobhfaidh	ˈʃcɾʲiːwfˠə
tuaisceart	ˈt̪ˠuəʃcəɾˠt̪ˠ
cogar	ˈkɔɡəɾˠ
seastar	ˈʃasˠt̪ˠəɾˠ
glasa	ˈɡlˠasˠə
tuige	ˈt̪ˠɪɟɪ
stábh	sˠt̪ˠɑːvʲ
tithe	ˈtʲɪhə
seachtainí	ˈʃaxt̪ˠənʲiː
éigint	ˈeːɟɪn̠ʲtʲ
ísle	ˈiːʃlʲə
os comhair	əsˠ ˈkəuəɾʲ
murarbh	ˈmˠʊɾˠəɾˠw
ngaoith	ŋiː
lasas	ˈlˠasˠəsˠ
