bhlas	vˠlˠasˠ
smiolgadán	ˈʃmʲiəl̪ˠɡəd̪ˠɑːnˠ
ríocht	ɾˠiːçtʲ
dhíbhse	ˈjiːvʲʃə
Doire	ˈd̪ˠɛɾʲə
seamróga	ˈʃamˠɾˠoːɡə
scannán	ˈsˠkan̪ˠɑːnˠ
deirteá	ˈdʲɛɾˠtʲeɑː
fealsúnacht	ˈfʲal̪ˠsˠuːn̪ˠəxt̪ˠ
sheabhac	ˈhəuək
neimhe	ˈnʲeiiːə
nochtaim	ˈn̪ˠɔxt̪ˠəmʲ
ghairdín	ˈɣaɾʲədʲiːnʲ
lítir	ˈlʲiːtʲɪɾʲ
ngairdín	ˈŋaɾʲədʲiːnʲ
lig	lʲɪɟ
strainséir	ˈsˠt̪ˠɾˠan̪ʲʃeːɾʲ
cuire	ˈkɪɾʲə
bhíonn	vʲiːnʲ
tig	tʲɪɟ
deintear	ˈdʲɛn̠ʲtʲəɾˠ
cuisleán	ˈkɪʃlʲeɑːnˠ
Aoibhe	ˈiːvʲə
aíocht	ˈiːəxt̪ˠ
brádán	ˈbˠɾˠɑːd̪ˠɑːnˠ
d'fhuaigh	d̪ˠ'ˈuə
liom	lʲiəmˠ
spiorad	ˈʃpʲiəɾˠəd̪ˠ
d'fhuaití	d̪ˠ'ˈuətʲiː
naíonda	ˈn̪ˠiːən̪ˠd̪ˠə
tochas	ˈt̪ˠɔxəsˠ
n-éirí	nʲ-ˈeːɾʲiː
dtéann	dʲeːnʲ
ón	oːnˠ
ró-	ɾˠoː-
blaoisce	ˈbˠlˠiːʃcɪ
tlig	tʲlʲɪɟ
Brasaíl	ˈbˠɾˠasˠəlʲ
ónar	ˈoːn̪ˠəɾˠ
ndearnamar	ˈnʲaɾˠn̪ˠəmˠəɾˠ
síoraí	ˈʃiːɾˠiː
Muire	ˈmˠɪɾʲə
leabharlann	ˈlʲəuəɾˠlˠən̪ˠ
amha	ˈəuə
big	bʲɪɟ
lenarb	ˈlʲɛn̪ˠəɾˠbˠ
balsamach	ˈbˠal̪ˠsˠəmˠəx
nóin	ˈn̪ˠónʲ
tóin	ˈt̪ˠónʲ
íocfad	ˈiːkfˠəd̪ˠ
íochtar	ˈiːxt̪ˠəɾˠ
feidhmiúil	ˈfʲɛmʲúlʲ
chuathas	ˈxuəhəsˠ
smig	ʃmʲɪɟ
inneoin	ˈɪnʲoːnʲ
os cionn	əʃ ˈcioːn̪ˠ
freastal	ˈfʲɾʲasˠt̪ˠəlˠ
faigheann	ˈfˠajən̪ˠ
scuaid	ˈsˠkuədʲ
adhlaic	ˈailˠɪc
feighil	ˈfʲɛjɪlʲ
púca	ˈpˠuːkə
Uíbh	ˈuiːvʲ
Airméanach	ˈaɾʲmʲeːn̪ˠəx
beachlann	ˈbʲaxlˠən̪ˠ
charachtair	ˈxaɾˠəxt̪ˠəɾʲ
thrí	hɾʲiː
cuidhil	ˈkɪjɪlʲ
eangach	ˈɪŋəx
gruag	ɡɾˠuəɡ
monarcha	ˈmˠɔn̪ˠəɾˠxə
t-airgead	t̪ˠ-ˈaɾʲəɟəd̪ˠ
iontas	ˈiən̪ˠt̪ˠəsˠ
bhrí	vʲɾʲiː
hÍ	hiː
tuthóg	ˈt̪ˠʊhoːɡ
fhlaith	lˠa
cíd	ciːdʲ
go fóill	ɡəˈfˠólˠ
eich	ɛç
ar shiúl	əɾˠˈhuːlˠ
bhfolach	ˈwɔlˠəx
Connachta	ˈkʊn̪ˠəxt̪ˠə
ospidéil	ˈɪʃpʲɪdʲeːlʲ
spioraid	ˈʃpʲiəɾˠədʲ
thiocfá	ˈhjʊkfˠɑː
athair	ˈahəɾʲ
fuil	fˠɪlʲ
bhfiarthaí	ˈvʲiəɾˠiː
bhfiche	ˈvʲɪçə
Gaeilge na hAlban	ˌɟeːl̪ʲɟɪ n̪ˠə ˈhalˠəbˠən̪ˠ
uireaspach	ˈɪɾʲəsˠpˠəx
n-oileadh	n̪ˠ-ˈɛlʲə
ar aon chaoi	əɾˠiːn̪ˠ ˈxiː
leanacht	ˈlʲan̪ˠəxt̪ˠ
bliain	ˈbʲlʲiənʲ
sabhdán	ˈsˠəud̪ˠɑːnˠ
pheata	ˈfʲat̪ˠə
cuil	kɪlʲ
dúchas	ˈd̪ˠuːxəsˠ
Róis	ˈɾˠóʃ
libhse	ˈlʲəiʃə
ríse	ˈɾˠiːʃə
dhochtúir	ˈɣɔxt̪ˠúɾʲ
ndosanna	ˈn̪ˠɔsˠən̪ˠə
déarfainn	ˈdʲeːɾˠfˠən̪ˠ
abhac	ˈəuək
Thiarna	ˈhiəɾˠn̪ˠə
maithe	ˈmˠahə
comhair	ˈkəuəɾʲ
brandaí	ˈbˠɾˠan̪ˠəd̪ˠiː
deilbh	dʲɛlʲəvʲ
phota	ˈfˠɔt̪ˠə
Caoimhín	ˈkiːvʲiːnʲ
chiseanna	ˈçɪʃən̪ˠə
nóis	ˈn̪ˠóʃ
pógtha	ˈpˠoːkə
diúltú	ˈdʲuːl̪ˠt̪ˠuː
airleacan	ˈaɾʲlʲəkən̪ˠ
athar	ˈahəɾˠ
seilbh	ʃɛlʲəvʲ
síor-	ʃiːɾʲ-
nighe	ˈnʲəiə
fíor-	fʲiːɾʲ-
thiarna	ˈhiəɾˠn̪ˠə
othar	ˈɔhəɾˠ
éadáil	ˈeːd̪ˠɑːlʲ
píbe	ˈpʲiːbʲə
trína	tʲɾʲiːn̪ˠə
draid	d̪ˠɾˠadʲ
próifíl	ˈpˠɾˠófʲiːlʲ
táinte	ˈt̪ˠɑːn̪ʲtʲə
athruithe	ˈahɾˠəhə
tchím	tʲçiːmʲ
chíonn	çiːnʲ
Odhrán	ˈuːɾˠɑːnˠ
cáinte	ˈkɑːn̪ʲtʲə
tuarastal	ˈt̪ˠuəɾˠəsˠt̪ˠəlˠ
dide	ˈdʲɪdʲə
mar ea	mˠəɾˠ ˈa
spóla	ˈsˠpˠoːlˠə
a chairde	əˈxaɾʲədʲə
rugas	ˈɾˠʊɡəsˠ
taosc	t̪ˠiːsˠk
adhairc	ˈaiəɾʲc
branra	ˈbˠɾˠan̪ˠɾˠə
bhíodar	ˈvʲiːd̪ˠəɾˠ
féinphic	ˈfʲeːn̠ʲfʲɪc
ficheall	ˈfʲɪçəlˠ
abhras	ˈəuɾˠəsˠ
-imis	-ˈɪmʲəʃ
úir	ˈúɾʲ
hanam	ˈhan̪ˠəmˠ
Inis Meáin	ˌɪnʲəʃ ˈmʲeɑːnʲ
mbod	mˠɔd̪ˠ
ruaille buaille	ˌɾˠuəlˠə ˈbˠuəlˠə
bláth	bˠlˠɑː
feadha	ˈfʲəiə
rothair	ˈɾˠɔhəɾʲ
lorg	lˠɔɾˠɡ
díbir	ˈdʲiːbʲɪɾʲ
fiabhrais	ˈfʲiəuɾˠəʃ
maraím	ˈmˠaɾˠəmʲ
eascann	ˈasˠkən̪ˠ
leag	lʲaɡ
éis	eːʃ
critice	ˈcɾʲɪtʲɪcɪ
bámhar	ˈbˠáiːəɾˠ
in aghaidh	ɪn̪ˠ ˈaiə
Ciribeas	ˈcɪɾʲəbʲəsˠ
sceideal	ˈʃcɛdʲəlˠ
máthar	ˈmˠɑːhəɾˠ
éar	eːɾˠ
leanúint	ˈlʲan̪ˠún̪ʲtʲ
déan as	ˈdʲeːn̪ˠ asˠ
cér	ceːɾʲ
seanfhear	ˈʃanʲəɾˠ
nimis	ˈnʲɪmʲəʃ
limis	ˈlʲɪmʲəʃ
aríst	ˈaɾʲiːʃtʲ
grán buí	ɡɾˠɑːn̪ˠ ˈbˠuiː
rochtain	ˈɾˠɔxt̪ˠənʲ
fhianaise	ˈiən̪ˠəʃə
veigeatóir	vˈɛɟat̪ˠóɾʲ
crannóg	ˈkɾˠan̪ˠoːɡ
cibé	ˈcɪbʲeː
arbhar	ˈaɾˠwəɾˠ
seacht déag	ʃaçtʲ dʲeːɡ
stáca	ˈsˠt̪ˠɑːkə
olca	ˈɔl̪ˠkə
diomaite	ˈdʲjʊmˠətʲə
straitéis	ˈsˠt̪ˠɾˠatʲeːʃ
bansár	ˈbˠan̪ˠsˠɑːɾˠ
sochaí	ˈsˠɔxiː
tóraíocht	ˈt̪ˠoːɾˠiːəxt̪ˠ
gach	ɡax
simplí	ˈʃɪmʲpʲlʲiː
úrú	ˈuːɾˠuː
Parthalán	ˈpˠaɾˠəlˠɑːnˠ
each	ax
Caitliceach	ˈkatʲlʲɪcəx
seod	ʃoːd̪ˠ
dúiche	ˈd̪ˠúçə
uireaspa	ˈɪɾʲəsˠpˠə
gcaoi	ɡiː
bunadh	ˈbˠʊn̪ˠə
carraig	ˈkaɾˠɪɟ
bheag	vʲaɡ
d'fheicinn	dʲ'ˈɛcɪnʲ
flaithiúlacht	ˈfˠlˠahuːlˠəxt̪ˠ
banc	bˠan̪ˠk
craiceanna	ˈkɾˠacən̪ˠə
bpeata	ˈbʲat̪ˠə
gí go	ˈɟiː ɡə
clabhtaí	ˈklˠəut̪ˠiː
piachán	ˈpʲiəxɑːnˠ
boird	bˠɛɾʲdʲ
graeipe	ˈɟɾʲeːpʲə
scragall	ˈsˠkɾˠaɡəlˠ
panc	pˠan̪ˠk
i dtaca le	əˈd̪ˠakə lʲə
fhiartha	ˈiəɾˠə
críon	cɾʲiːnʲ
thriall	ˈhɾʲiəlˠ
caighdeánach	ˈkadʲeɑːn̪ˠəx
chapall	ˈxapˠəlˠ
fhios	ˈiəsˠ
ar ais	əɾˠˈaʃ
achoimre	ˈaxəmʲɾʲə
ith	ɪ
oileadh	ˈɛlʲə
glasóg	ˈɡlˠasˠoːɡ
caithim	ˈkahəmʲ
stiúideo	ˈʃtʲúdʲoː
leoraís	ˈlʲoːɾˠəʃ
tríd	tʲɾʲiːdʲ
táilliúir	ˈt̪ˠɑːlˠúɾʲ
urú	ˈʊɾˠuː
teampall	ˈtʲamˠpˠəlˠ
teachta	ˈtʲaxt̪ˠə
fríd	fʲɾʲiːdʲ
bhfarraige	ˈwaɾˠəɟɪ
Bríd	bʲɾʲiːdʲ
aithin	ˈahənʲ
snáth	sˠn̪ˠɑː
carbónach	ˈkaɾˠəbˠoːn̪ˠəx
tibhe	ˈtʲəiə
neosainn	ˈnʲoːsˠən̪ˠ
slaba	ˈsˠlˠabˠə
ceachta	ˈcaxt̪ˠə
stoirm	sˠt̪ˠɛɾʲmʲ
bhFrainc	wɾˠan̪ʲc
gnáth	ɡɾˠɑː
-ach	-ax
gaiscíocha	ˈɡaʃciːxə
éadóchasach	ˈeːd̪ˠoːxəsˠəx
cuain	ˈkuənʲ
ceilp	cɛl̠ʲpʲ
buain	ˈbˠuənʲ
sás	sˠɑːsˠ
méine	ˈmʲeːnʲə
as a chéile	asˠ əˈçeːlʲə
luain	ˈlˠuənʲ
péine	ˈpʲeːnʲə
sleán	ˈʃlʲeɑːnˠ
más	mˠɑːsˠ
arraing	ˈaɾˠəŋ
snáfa	ˈsˠn̪ˠɑːfˠə
dochma	ˈd̪ˠɔxmˠə
curach	ˈkʊɾˠəx
aitheantas	ˈahən̪ˠt̪ˠəsˠ
taoisigh	ˈt̪ˠiːʃə
buíon	ˈbˠuiːnʲ
croítí	ˈkɾˠoiːtʲiː
stagún	ˈsˠt̪ˠaɡuːnˠ
arú	ˈaɾˠuː
crú	kɾˠuː
dubhach	ˈd̪ˠəuəx
caithirín	ˈkahəɾʲiːnʲ
tláith	t̪ˠlˠɑː
cad chuige	kad̪ˠ ˈxəɟɪ
deartháir	ˈdʲaɾˠɑːɾʲ
pháirt	fˠɑːɾˠtʲ
Bhríd	vʲɾʲiːdʲ
Diarmaid	ˈdʲiəɾˠmˠədʲ
reiligiún	ˈɾˠɛlʲəɟuːnˠ
gleoite	ˈɟlʲoːtʲə
mearcair	ˈmʲaɾˠkəɾʲ
múnla	ˈmˠuːn̪ˠlˠə
ghoile	ˈɣɛlʲə
seanmóir	ˈʃan̪ˠmˠóɾʲ
siúlann	ˈʃuːlˠən̪ˠ
feilméaraí	ˈfʲɛl̠ʲmʲeːɾˠiː
eitil	ˈɛtʲɪlʲ
sioc	ˈʃjʊk
chum	xʊmˠ
faoi deara	fˠiːˈdʲaɾˠə
coraíocht	ˈkɔɾˠiːəxt̪ˠ
duine fásta	ˌd̪ˠɪnʲə ˈfˠɑːsˠt̪ˠə
cipín	ˈcɪpʲiːnʲ
matrarcach	ˈmˠat̪ˠɾˠəɾˠkəx
ghualainn	ˈɣuəlˠən̪ˠ
Fhaoilleach	ˈiːlʲəx
meánn	ˈmʲeɑːn̪ˠ
tráth	t̪ˠɾˠɑː
fhreastal	ˈɾʲasˠt̪ˠəlˠ
bhod	wɔd̪ˠ
Peige	ˈpʲɛɟɪ
bhfuilimid	ˈwɪlʲɪmʲɪdʲ
cistineacha	ˈcɪʃtʲənʲəxə
cultúr	ˈkʊl̪ˠt̪ˠuːɾˠ
ceintiméadar	ˈcɛn̠ʲtʲəmʲeːd̪ˠəɾˠ
aip	apʲ
-óinn	-ˈón̪ˠ
Nás	n̪ˠɑːsˠ
cathú	ˈkahuː
tnáith	t̪ˠɾˠɑː
fás	fˠɑːsˠ
cás	kɑːsˠ
lucharachán	ˈlˠʊxəɾˠəxɑːnˠ
cad é	kadʲ ˈeː
bás	bˠɑːsˠ
bleán	ˈbʲlʲeɑːnˠ
thiocfas	ˈhjʊkfˠəsˠ
earra	ˈaɾˠə
treascair	ˈtʲɾʲasˠkəɾʲ
barra	ˈbˠaɾˠə
anduine	ˈan̪ˠəd̪ˠənʲə
óir	ˈóɾʲ
céibhe	ˈceːvʲə
loscann	ˈlˠɔsˠkən̪ˠ
Tír Bhascach	tʲiːɾˠ ˈwasˠkəx
falach	ˈfˠalˠəx
duibhe	ˈd̪ˠɪvʲə
sonrú	ˈsˠɔn̪ˠɾˠuː
tosach	ˈt̪ˠɔsˠəx
mósáic	ˈmˠoːsˠɑːc
coisrig	ˈkɛʃɾʲəc
salach	ˈsˠalˠəx
ualach	ˈuəlˠəx
drochaoibh	ˈd̪ˠɾˠɔxiːvʲ
bpáipéar	ˈbˠɑːpʲeːɾˠ
clabhchorda	ˈklˠəuxəɾˠd̪ˠə
tarra	ˈt̪ˠaɾˠə
d'íosfaí	dʲ'ˈiːsˠfˠiː
meara	ˈmʲaɾˠə
Idirlíon	ˈɪdʲəɾʲlʲiːnʲ
deara	ˈdʲaɾˠə
dearfach	ˈdʲaɾˠfˠəx
t-os	t̪ˠ-ɔsˠ
bhróga	ˈwɾˠoːɡə
n-os	n̪ˠ-ɔsˠ
leac	lʲak
laige	ˈlˠaɟɪ
ngrá	ŋɾˠɑː
dár	d̪ˠɑːɾˠ
haige	ˈhaɟɪ
dhuitse	ˈɣɪtʲʃə
nár	n̪ˠɑːɾˠ
thrá	hɾˠɑː
lár	lˠɑːɾˠ
deinim	ˈdʲɛnʲəmʲ
hár	hɑːɾˠ
seandaoine	ˈʃan̪ˠəd̪ˠiːnʲə
trínarb	ˈtʲɾʲiːn̪ˠəɾˠbˠ
goil	ɡɛlʲ
sár	sˠɑːɾˠ
feac	fʲak
coil	kɛlʲ
feamainn	ˈfʲamˠən̪ˠ
Gearóid	ˈɟaɾˠódʲ
cúig déag	ˌkúɟ dʲeːɡ
aighneas	ˈanʲəsˠ
éasc	eːsˠk
féadaim	ˈfʲeːd̪ˠəmʲ
éisc	eːʃc
díograis	ˈdʲiːɡɾˠəʃ
halla	ˈhalˠə
breoiteacht	ˈbʲɾʲoːtʲəxt̪ˠ
smuga	ˈsˠmˠʊɡə
shalach	ˈhalˠəx
bunscoil	ˈbˠʊn̪ˠsˠkəlʲ
comhlacht	ˈkəulˠəxt̪ˠ
blaosc	bˠlˠiːsˠk
dreoite	ˈdʲɾʲoːtʲə
gcara	ˈɡaɾˠə
trócaire	ˈt̪ˠɾˠoːkəɾʲə
coscairt	ˈkɔsˠkəɾˠtʲ
arís	ˈaɾʲiːʃ
ónarbh	ˈoːn̪ˠəɾˠw
dháiríre	ˈɣɑːɾʲiːɾʲə
shéabra	ˈheːbˠɾˠə
ceárta	ˈceɑːɾˠt̪ˠə
piast	ˈpʲiəsˠt̪ˠ
imeoidh	ˈɪmʲə
iadsan	ˈiəd̪ˠsˠən̪ˠ
rincí	ˈɾˠɪn̠ʲciː
carria	ˈkaɾˠiə
Cháit	xɑːtʲ
dúideanna	ˈd̪ˠúdʲən̪ˠə
ort	ɔɾˠt̪ˠ
cosa	ˈkɔsˠə
mholtaí	ˈwɔl̪ˠt̪ˠiː
aosa	ˈiːsˠə
carcair	ˈkaɾˠkəɾʲ
chualais	ˈxuəlˠəʃ
shíl	hiːlʲ
málaí	ˈmˠɑːlˠiː
seal	ʃalˠ
gorm	ɡɔɾˠmˠ
rotha	ˈɾˠɔhə
t-amhras	t̪ˠ-ˈəuɾˠəsˠ
dreoilín	ˈdʲɾʲoːlʲiːnʲ
réam	ɾˠeːmˠ
treoracha	ˈtʲɾʲoːɾˠəxə
iománaíocht	ˈʊmˠɑːn̪ˠiːəxt̪ˠ
go raibh maith agaibh	ɡəɾˠaiiː mˠah ˈəɡəvʲ
ruthag	ˈɾˠʊhəɡ
n-anman	n̪ˠ-ˈan̪ˠmˠən̪ˠ
haos	hiːsˠ
díolann	ˈdʲiːlˠən̪ˠ
nguíonna	ˈŋuiːnʲə
beithíoch	ˈbʲɛhiː
míleach	ˈmʲiːlʲəx
phíoba	ˈfʲiːbˠə
tsúil	ˈt̪ˠsˠúlʲ
chomh luath is	xəu ˈlˠuəh əsˠ
peata	ˈpʲat̪ˠə
madraí	ˈmˠad̪ˠɾˠiː
fiodh	ˈfʲiuː
scéalaithe	ˈʃceːlˠəhə
pince	ˈpʲɪn̠ʲcɪ
dóchas	ˈd̪ˠoːxəsˠ
catachas	ˈkat̪ˠəxəsˠ
garsún	ˈɡaɾˠsˠuːnˠ
rince	ˈɾˠɪn̠ʲcɪ
bean sí	bʲanʲ ˈʃiː
lastuaidh	ˈlˠasˠt̪ˠuə
tseilg	tʲʃɛl̠ʲɟ
matán	ˈmˠat̪ˠɑːnˠ
brise	ˈbʲɾʲɪʃə
curacha	ˈkʊɾˠəxə
taos	t̪ˠiːsˠ
ligis	ˈlʲɪɟɪʃ
Volaifis	vˈɔlˠəfʲəʃ
Meán Fómhair	ˌmʲeɑːnˠ ˈfˠoːəɾʲ
Antaine	ˈan̪ˠt̪ˠənʲə
hataí	ˈhat̪ˠiː
charaid	ˈxaɾˠədʲ
fataí	ˈfˠat̪ˠiː
cuntais	ˈkʊn̪ˠt̪ˠəʃ
blagaid	ˈbˠlˠaɡədʲ
suím	ˈsˠuiːmʲ
inné	ˈɪnʲeː
fuadar	ˈfˠuəd̪ˠəɾˠ
dearmadaim	ˈdʲaɾˠmˠəd̪ˠəmʲ
bhfeictear	ˈvʲɛctʲəɾˠ
luím	ˈlˠuiːmʲ
croíthe	ˈkɾˠoiːhə
corrán	ˈkɔɾˠɑːnˠ
loiteach	ˈlˠɪtʲəx
fuiseog	ˈfˠɪʃoːɡ
príosún	ˈpʲɾʲiːsˠuːnˠ
foide	ˈfˠɛdʲə
gruagach	ˈɡɾˠuəɡəx
Dé	dʲeː
Neipeailis	ˈnʲɛpʲalʲəʃ
réalta	ˈɾˠeːl̠ˠt̪ˠə
dúbail	ˈd̪ˠuːbˠəlʲ
tréidlia	ˈtʲɾʲeːdʲlʲiə
Luimneach	ˈlˠɪmʲnʲəx
nuaí	ˈn̪ˠuəiː
freastalta	ˈfʲɾʲasˠt̪ˠəl̪ˠt̪ˠə
caisleán	ˈkaʃlʲeɑːnˠ
choda	ˈxɔd̪ˠə
mhuiníl	ˈwɪnʲiːlʲ
stoic	sˠt̪ˠɪc
braiteach	ˈbˠɾˠatʲəx
spáin	sˠpˠɑːnʲ
chiar	ˈçiəɾˠ
seaicéad	ˈʃaceːd̪ˠ
tá brón orm	t̪ˠɑː bˠɾˠoːn̪ˠ ˈəɾˠmˠ
cárt	kɑːɾˠt̪ˠ
Daidí na Nollag	ˌd̪ˠadʲiː n̪ˠə ˈn̪ˠoːlˠəɡ
séide	ˈʃeːdʲə
alt	ɛl̠ˠt̪ˠ
thiar	ˈhiəɾˠ
Eastóinis	ˈasˠt̪ˠónʲəʃ
bachta	ˈbˠaxt̪ˠə
puiteach	ˈpˠɪtʲəx
nglais	ŋlˠaʃ
mímhúinte	ˈmʲiːún̪ʲtʲə
choillte	ˈxɛl̠ʲtʲə
ríog	ɾˠiːɟ
uachta	ˈuəxt̪ˠə
tráill	t̪ˠɾˠɑːlˠ
talamh	ˈt̪ˠalˠəu
mboga	ˈmˠɔɡə
taois	t̪ˠiːʃ
bhreab	vʲɾʲabˠ
i m'ainneoin	əmˠ'ˈan̪ˠoːnʲ
éan	eːnˠ
clocásach	ˈklˠɔkɑːsˠəx
bréag	bʲɾʲeːɡ
fraoigh	fˠɾˠə
cráin	kɾˠɑːnʲ
thuas	huəsˠ
mar go	mˠəɾˠ ɡə
gleannta	ˈɟlʲan̪ˠt̪ˠə
gráin	ɡɾˠɑːnʲ
cnó Brasaíleach	kɾˠoː ˈbˠɾˠasˠəlʲəx
cupla	ˈkʊpˠlˠə
sil	ʃɪlʲ
barriall	ˈbˠaɾˠiəlˠ
bhfágálacha	ˈwɑːɡɑːlˠəxə
sealga	ˈʃalˠəɡə
miotas	ˈmʲiət̪ˠəsˠ
seanscéal	ˈʃan̪ʲʃceːlˠ
oibre	ˈɛbʲɾʲə
ar scáth	əɾˠˈsˠkɑː
díbhse	ˈdʲiːvʲʃə
bogaigh	ˈbˠɔɡə
t-iúr	tʲ-uːɾˠ
ging	ɟɪɲ
craoibhe	ˈkɾˠiːvʲə
chailleas	ˈxalˠəsˠ
ding	dʲɪɲ
faoi dhó	fˠiːˈɣoː
aisig	ˈaʃɪɟ
dílis	ˈdʲiːlʲəʃ
ciclipéid	ˈcɪclʲɪpʲeːdʲ
chluais	ˈxlˠuəʃ
úll	uːlˠ
cruitireacht	ˈkɾˠɪtʲəɾʲəxt̪ˠ
uainn	uən̪ˠ
cantar	ˈkan̪ˠt̪ˠəɾˠ
ngiorria	ˈŋiəɾˠiə
folcaim	ˈfˠɔl̪ˠkəmʲ
tálaim	ˈt̪ˠɑːlˠəmʲ
ndochtúirí	ˈn̪ˠɔxt̪ˠúɾʲiː
Tír Eoghain	tʲiːɾʲ ˈoːɣənʲ
maiseach	ˈmˠaʃəx
dé	dʲeː
deiread	ˈdʲɛɾʲəd̪ˠ
fé	fʲeː
beiread	ˈbʲɛɾʲəd̪ˠ
hé	heː
buarach	ˈbˠuəɾˠəx
cuarach	ˈkuəɾˠəx
Fódhla	ˈfˠoːlˠə
long	lˠʊŋ
ursan	ˈʊɾˠsˠən̪ˠ
shneachta	ˈhnʲaxt̪ˠə
seilbhe	ˈʃɛlʲəvʲə
méith	mʲeː
bliosán	ˈbʲlʲiəsˠɑːnˠ
n-áití	n̪ˠ-ˈɑːtʲiː
ndomhan	ˈn̪ˠəuən̪ˠ
eitpheil	ˈɛtʲfʲɛlʲ
facthas	ˈfˠakəsˠ
agóid	ˈaɡódʲ
mbun	mˠʊn̪ˠ
dóim	ˈd̪ˠómʲ
mórmheanma	ˈmˠoːɾʲvʲən̪ˠmˠə
bheirir	ˈvʲɛɾʲɪɾʲ
sé	ʃeː
bolcán	ˈbˠɔl̪ˠkɑːnˠ
ail	alʲ
té	tʲeː
gil	ɟɪlʲ
vé	veː
fleaite	ˈfʲlʲatʲə
dil	dʲɪlʲ
beach chapaill	bʲax ˈxapˠəlˠ
ghlactaí	ˈlˠakt̪ˠiː
mé	mʲeː
oil	ɛlʲ
dearfa	ˈdʲaɾˠfˠə
mil	mʲɪlʲ
pé	pʲeː
dabht	d̪ˠəut̪ˠ
bhur	wəɾˠ
áisiúil	ˈɑːʃúlʲ
baineann	ˈbˠanʲən̪ˠ
oblátach	ˈɔbˠlˠɑːt̪ˠəx
go deo	ɡəˈdʲoː
clochán	ˈklˠɔxɑːnˠ
gcúl	ɡuːlˠ
chur	xʊɾˠ
tlú	t̪ˠlˠuː
baile mór	ˌbˠalʲə ˈmˠoːɾˠ
bairille	ˈbˠaɾʲəlˠə
crogall	ˈkɾˠɔɡəlˠ
oifig	ˈɛfʲɪɟ
oilfeadh	ˈɛl̠ʲfʲə
Chásca	ˈxɑːsˠkə
scealp	ʃcal̪ˠpˠ
fabht	fˠəut̪ˠ
geata	ˈɟat̪ˠə
séasún	ˈʃeːsˠuːnˠ
fáiscim	ˈfˠɑːʃcɪmʲ
libh	lʲəi
fón	fˠoːnˠ
áil	ɑːlʲ
ráinig	ˈɾˠɑːnʲɪɟ
lón	lˠoːnˠ
cuinneog	ˈkɪnʲoːɡ
fuinneog	ˈfˠɪnʲoːɡ
crotach	ˈkɾˠɔt̪ˠəx
maithiúnas	ˈmˠahuːn̪ˠəsˠ
eofón	ˈoːfˠoːnˠ
suarach	ˈsˠuəɾˠəx
saoileann	ˈsˠiːlʲən̪ˠ
cabaire	ˈkabˠəɾʲə
rón	ɾˠoːnˠ
Aibhilín	ˈavʲəlʲiːnʲ
Mhuire	ˈwɪɾʲə
diail	ˈdʲiəlʲ
feadóg	ˈfʲad̪ˠoːɡ
bá	bˠɑː
gá	ɡɑː
bhfís	vʲiːʃ
Pháras	ˈfˠɑːɾˠəsˠ
amú	ˈamˠuː
thearn	haɾˠn̪ˠ
feiceanna	ˈfʲɛcən̪ˠə
riail	ˈɾˠiəlʲ
áit	ɑːtʲ
umhlú	ˈəulˠuː
chiumhais	ˈçəuəʃ
naomhtar	ˈn̪ˠiːwt̪ˠəɾˠ
phós	fˠoːsˠ
pháistí	ˈfˠɑːʃtʲiː
gcolanna	ˈɡɔlˠən̪ˠə
sráide	ˈsˠɾˠɑːdʲə
toirbh	t̪ˠɛɾʲvʲ
clú	klˠuː
teagmhaigh	ˈtʲaɡwə
ar aghaidh	əɾˠˈaiə
tarta	ˈt̪ˠɛɾˠt̪ˠə
tagaimid	ˈt̪ˠaɡəmʲɪdʲ
bacán	ˈbˠakɑːnˠ
cúngach	ˈkɪŋəx
próis	ˈpˠɾˠóʃ
a chlog	əˈxlˠɔɡ
má	mˠɑː
lá	lˠɑː
sá	sˠɑː
rá	ɾˠɑː
mhór	woːɾˠ
pá	pˠɑː
ceannach	ˈcan̪ˠəx
colanna	ˈkɔlˠən̪ˠə
deannach	ˈdʲan̪ˠəx
chaoi	xiː
sacán	ˈsˠakɑːnˠ
gabháil	ˈɡəuɑːlʲ
ásc	ɑːsˠk
mónóg	ˈmˠoːn̪ˠoːɡ
deineann	ˈdʲɛnʲən̪ˠ
gual	ɡuəlˠ
tiomáin	ˈtʲjʊmˠɑːnʲ
scéal	ʃceːlˠ
gallta	ˈɡal̪ˠt̪ˠə
ábalta	ˈɑːbˠəl̪ˠt̪ˠə
féinín	ˈfʲeːnʲiːnʲ
dhol	ɣɔlˠ
Márta	ˈmˠɑːɾˠt̪ˠə
cháiliúil	ˈxɑːlʲúlʲ
chealg	çal̪ˠɡ
scór	sˠkoːɾˠ
crómasómach	ˈkɾˠoːmˠəsˠoːmˠəx
broic	bˠɾˠɪc
ó	oː
cháin	xɑːnʲ
gaisce	ˈɡaʃcɪ
tirim	ˈtʲɪɾʲəmʲ
dula	ˈd̪ˠʊlˠə
tiocfair	ˈtʲjʊkfˠəɾʲ
gníomhaíocht	ˈɟɾʲiːiːəxt̪ˠ
le fáil	lʲə ˈfˠɑːlʲ
Ruadhán	ˈɾˠuəɣɑːnˠ
búch	bˠuːx
le haghaidh	lʲə ˈhaiə
guta	ˈɡʊt̪ˠə
cineálta	ˈcɪnʲeɑːl̪ˠt̪ˠə
múinteora	ˈmˠún̪ʲtʲoːɾˠə
múch	mˠuːx
seise	ˈʃɛʃə
