word,tags,ipa,results,match
imím,Connacht,ˈimʲiːmʲ,ˈɪmʲiːmʲ,88
in aice le,,əˈn̪ˠacɪlʲə,ˈiːnʲ ˈaic'ɛ lʲɛ,45
in aice,Ulster; Connacht,əˈn̪ˠacɪ,ˈiːnʲ ˈaic'ɛ,38
in aghaidh,Ulster; Connacht,əˈn̪ˠəi,ˈiːnʲ ˈajiː,29
inis,,"ˈinʲiʃ, ˈɪn̠ʲiʃ",ˈɪnʲɪʃ,67
inniu,Connacht,əˈn̠ʲu,ˈɪn̠ʲɪʊ,67
inné,Ulster; Connacht,"əˈn̠ʲeː, ɪˈn̠ʲeː",ˈɪn̠ʲeː,86
innealtóir,,ˈinʲəlˠt̪ˠoːɾʲ,ˈɪn̠ʲalʲtʲoːɾʲ,64
inseoidh,Connacht,"ˈinʲʃoː, ˈinʲʃɔə̯",ˈɪnʲʃoː,86
ins,,ɪnˠsˠ,ˈiːnʲʃ,22
insim,,"ˈinʲʃəmʲ, ˈin̠ʲʃəmʲ, ˈiːnʲʃəmʲ",ˈɪnʲʃɪmʲ,75
inár gcoinne,Connacht,ən̪ˠɑːɾˠ ˈɡɪn̠ʲə,ˈɪnʲɑːɾˠ ˈɟɔn̠ʲɛ,62
iníon,Connacht,"nʲiːnˠ, ˈinʲiːnʲ",ˈɪnʲiːʊnˠ,71
iníona,Connacht,ˈinʲiːnˠiː,ˈɪnʲiːʊnˠa,70
iománaíocht,,əˈmˠɑːn̪ˠiəxt̪ˠ,ˈɪmˠɑːnˠɑːʊxt̪ˠ,76
iomrall,,ˈʊmˠəɾˠəl̪ˠ,ˈɪmˠɾˠal̪ˠ,70
iompair,,ˈʊmˠpˠəɾʲ,ˈɪmʲpʲaiɾʲ,44
iontráil,Connacht,ˈʊn̪ˠt̪ˠɾˠɑːlʲ,ˈɪnʲtʲɾʲɑːlʲ,58
ionsaí,Connacht,ˈɔnˠsˠiː,ˈɪnʲʃiː,43
ionadaí,,"ˈi.ɴˠə.dˠiː, ˌi.nˠə.ˈdˠiː",ˈɪnˠadʲiː,56
is,,"sˠ, ɪsˠ, ʃ",ɪʃ,50
is fuath le,,"sˠfˠuə lʲə, ɪsˠ fˠuə lʲə",ɪʃ ˈfˠuaç lʲɛ,64
is éigean,,ˈʃeːɟənˠ,ɪʃ ˈeːɟɑnˠ,75
is fearr,,(ə)sˠˈfʲɑːɾˠ,ɪʃ ˈfˠɑːɾˠ,60
isteach,,əʃˈtʲax,ˈɪʃtʲəx,57
istigh,Connacht,əʃˈtʲiː,ˈɪʃtʲiː,71
ite,,ˈitʲə,ˈɪtʲɛ,60
ithir,,"ˈihəɾʲ, ˈihɪɾʲ",ˈɪhɪɾʲ,83
itheann,,"ˈihən̪ˠ, ˈiːn̪ˠ",ˈɪhən̪ˠ,86
ith,,i(h),ˈɪç,0
iógart,,ˈjoː.ɡˠʊɾˠt̪ˠ,ˈɪoːɡaɾˠt̪ˠ,73
iúr,,uːɾˠ,ˈɔɾˠ,50
jé,,d͡ʒeː,ˈjeː,50
lig do scíth,,ˌl̠ʲɪɟ də ˈʃciː,ˈlʲɪɟ d̪ˠʊ ˈʃc'iːç,73
lom láithreach,Connacht,ˌlˠɔmˠ ˈl̪ˠɑːɾʲəx,ˈlˠuːmˠ ˈlʲɑːhɾʲəx,76
lá féile,,ˌl̪ˠɑː ˈfʲeːlʲə,ˈlˠɑː ˈfʲeːlʲɛ,86
láithreach baill,Connacht,ˌl̪ˠɑːɾʲəx ˈbˠɑl̠ʲ,ˈlʲɑːhɾʲəx ˈbʲail̠ʲ,72
láithreach stairiúil,Connacht,ˌl̪ˠɑːɾʲʲəx ˈsˠtˠaɾʲuːlʲ,ˈlʲɑːhɾʲəx ˈsˠt̪ˠaiɾʲɪuːlʲ,79
mac tíre,,ˌmˠak ˈtʲiːɾʲə,ˈmˠac ˈtʲiːɾʲɛ,79
mac léinn,,ˌmˠak ˈl̠ʲeːn̠ʲ,ˈmˠac ˈlʲeːən̠ʲ,83
maide briste,,ˌmˠædʲə ˈbʲɾʲɪʃtʲə,ˈmʲaidʲɛ ˈbʲɾʲɪʃtʲɛ,72
meá,,"æ(h), ɑː",ˈmʲɛɑː,33
mhairbh,Ulster; Connacht,ˈwarʲəvʲ,ˈvʲaiɾʲvʲ,53
mhaige,Ulster; Connacht,ˈwæɟɪ,ˈvʲaiɟɛ,20
mhaithe,Ulster; Connacht,ˈwahə,ˈvʲaɪhə,60
mháistreása,Connacht,ˈwɑːʃtʲɾʲɑːsˠə,ˈvʲɑːʃtʲɾʲɛɑːsˠa,79
mháighistreása,Connacht,ˈwɑːʃtʲɾʲɑːsˠə,ˈvʲɑːjɪʃtʲɾʲɛɑːsˠa,79
mhóir,Connacht,woːɾʲ,ˈvʲoːɾʲ,80
nGréigis,,ˈɲɾʲeːɟɪʃ,ˈŋɾʲeːɟɪʃ,89
nc,,"ŋk, ɲc",ˈnc,33
ngeall,Mayo; Connacht,ɲal̪ˠ,ˈŋɑːl̪ˠ,60
ngeimhrí,Connacht,"ˈɲivʲɾʲiː, ˈɲiːvʲɾʲiː, ˈɲĩvʲɾʲiː, ˈɲɛvʲɾʲiː",ˈŋɪvʲɾʲiː,78
ngeallann,,ˈɲal̪ˠən̪ˠ,ˈŋal̪ˠən̪ˠ,90
ngiorria,Munster; Connacht,ˈɲɪɾˠiə,ˈŋɪɾʲiə,71
ngréin,,ɲɾʲeːnʲ,ˈŋɾʲeːnʲ,86
ngrian,,ɲɾʲiənˠ,ˈŋɾʲiənˠ,86
ngéig,,ɲeːɟ,ˈŋeːɟ,75
ngé,,ɲeː,ˈŋeː,67
ngéibheann,,ˈɲeːvʲən̪ˠ,ˈŋeːɪvʲən̪ˠ,80
obair,Munster; Connacht,ˈɔbˠəɾʲ,ˈɛbʲaiɾʲ,43
obann,,"ˈɔbˠən̪ˠ, ˈɞbˠən̪ˠ",ˈʊbˠən̪ˠ,88
oblátach,Connacht,ˈɔbˠlˠɑːt̪ˠəx,ˈʊbˠlˠɑːt̪ˠəx,92
ochtar,,ˈɔxt̪ˠəɾˠ,ˈʊxt̪ˠaɾˠ,78
ochón,,ɔˈxoːn,ˈʊxoːnˠ,83
ocht déag,Munster; Connacht,ɔxt̪ˠ dʲeːɡ,ˈʊxt̪ˠ ˈdʲeːaɡ,82
ofrála,Connacht,"ˈɔfˠɾˠɑːlˠə, ˈɔfˠɾˠɑːl̪ˠə",ˈʊfˠɾˠɑːlˠa,82
ofráil,Connacht,ˈɔfˠɾˠɑːlʲ,ˈɪfʲɾʲɑːlʲ,70
ofrálacha,Connacht,"ˈɔfˠɾˠɑːlˠəxə, ˈɔfˠɾˠɑːl̪ˠəxə",ˈʊfˠɾˠɑːlˠaxa,77
oibrigh,Connacht,ˈəibʲɾʲiː,ˈɪbʲɾʲiː,75
oidhre,Munster; Connacht,ˈaiɾʲə,ˈɛjɾʲɛ,50
oide,Ulster; Connacht,ˈedʲə,ˈɛdʲɛ,60
oighear,,əiɾˠ,ˈɔjaɾˠ,50
oil,,"ɛlʲ, ɪlʲ",ˈiːlʲ,40
oileánach,Connacht,ˈɪlʲɑːnˠəx,ˈɛlʲɛɑːnˠəx,80
oileáin,Connacht,ˈɪlʲɑːnʲ,ˈɛlʲɛɑːnʲ,75
oinniún,Connacht,ˈin̠ʲuːnˠ,ˈɔn̠ʲʊnˠ,62
oirthear,,ˈeɾʲhəɾˠ,ˈɛɾʲhaɾˠ,75
oirnis,,ˈəuɾʲn̠ʲəʃ,ˈɛɾʲnʲɪʃ,62
oireacht,Munster; Connacht,ˈeɾʲəxt̪ˠ,ˈɛɾʲɑxt̪ˠ,78
oisín,Connacht,ˈɔʃiːnʲ,ˈɪʃiːnʲ,86
ois,,ɪʃ,ˈɛʃ,50
olaí,,ˈɔlˠiː,ˈɪlʲiː,67
ola,,ˈɔlˠə,ˈʊlˠa,60
olann,Ulster; Connacht,"ˈɔlˠən̪ˠ, ˈɔl̪ˠən̪ˠ",ˈʊlˠən̪ˠ,88
olc,,"ol̪ˠk, ɔlˠk, ɔl̪ˠk",ˈʊlc,25
olca,Munster; Connacht,ˈɔlˠkə,ˈʊlˠca,50
olldord,,ˈɔl̪ˠˌd̪ˠoːɾˠd̪ˠ,ˈʊl̪ˠd̪ˠʊɾˠd̪ˠ,79
olla,Munster; Connacht,ˈɔl̪ˠə,ˈʊl̪ˠa,67
ollbhua,,ˈɔl̪ˠˌwuə,ˈʊl̪ˠwua,75
optach,Connacht,ˈɔpˠt̪ˠəx,ˈʊpˠt̪ˠəx,89
orainne,,ˈɔɾˠən̠ʲə,ˈɛɾʲain̠ʲɛ,56
orca,,ˈɔɾˠkə,ˈʊɾˠca,50
orla,,ˈɔːɾˠl̪ˠə,ˈʊɾˠlˠa,57
orm,Ulster; stressed; Connacht,ˈɔɾˠəmˠ,ˈʊɾˠəmˠ,86
orm,Ulster; unstressed; Connacht,(ə)ɾˠmˠ,ˈʊɾˠəmˠ,62
ormsa,,ˈɔɾˠəmˠsˠə,ˈʊɾˠmˠsˠa,78
ortsa,,ˈɔɾˠt̪ˠsˠə,ˈʊɾˠt̪ˠsˠa,80
oráistí,,"oˈrɑːʃtʲiː, ˈorɑːʃtʲiː",ˈɛɾʲɑːʃtʲiː,73
oráiste,Connacht,ˈɔɾˠɑːʃtʲə,ˈɛɾʲɑːʃtʲɛ,70
os,Munster; Connacht,ɔsˠ,ʊsˠ,67
os comhair,Connacht,əsˠˈkuːɾʲ,ʊsˠ ˈcʊvʲaiɾʲ,44
os cionn,Connacht,oːsˠˈciən̪ˠ,ʊsˠ ˈc'iːn̪ˠ,73
os coinne,,əsˠˈkɪn̠ʲə,ʊsˠ ˈc'ɔn̠ʲɛ,60
osa,,ˈɔsˠə,ˈʊsˠa,60
oscailt,Munster; Connacht,ˈɔsˠkəl̠ʲtʲ,ˈɛʃc'ailʲtʲ,45
oscail,,ˈɔsˠkəlʲ,ˈɛʃc'ailʲ,25
oscailte,,ˈɔsˠkɪlʲtʲɪ,ˈɛʃc'ailʲtʲɛ,45
osna,,ˈɔsˠn̪ˠə,ˈʊsˠnˠa,71
ospidéal,Connacht,ˈɔsˠpʲədʲeːlˠ,ˈɛʃpʲɪdʲeːalˠ,69
ospidéil,Munster; Connacht,ˈɔspʲədʲeːlʲ,ˈɛʃpʲɪdʲeːlʲ,75
otair,Munster; Connacht,ˈɔt̪ˠəɾʲ,ˈɛtʲaiɾʲ,50
otharlann,,ˈɔhəɾˠl̪ˠənˠ,ˈʊçaɾˠlˠən̪ˠ,67
othar,,ˈɔhəɾˠ,ˈʊçaɾˠ,50
oícheanta,Ulster; Connacht,ˈiːçən̪ˠt̪ˠə,ˈoiːhanˠt̪ˠa,67
ruaille buaille,,ˌɾˠuəl̠ʲə ˈbˠuəl̠ʲə,ˈɾˠʊail̠ʲɛ ˈbˠʊail̠ʲɛ,63
scaoil,,sˠkiːlʲ,ˈʃc'iːlʲ,57
scailleagán,Connacht,"ˈsˠkal̠ʲəɡɑːnˠ, ˈsˠkal̠ʲəɡɑːn̪ˠ",ˈʃc'ail̠ʲaɡɑːnˠ,67
scaití,Connacht,ˈsˠkatʲiː,ˈʃc'aitʲiː,56
scoile,,ˈsˠkɞlʲə,ˈʃc'ɛlʲɛ,38
scoil,,sˠkɔlʲ,ˈʃc'ɛlʲ,33
scraiste,Ulster; Connacht,ˈsˠkɾˠaʃtʲə,ˈʃc'ɾʲaiʃtʲɛ,55
scráib,,sˠkɾˠaːbˠ,ˈʃc'ɾʲɑːbʲ,33
scáileán,,sˠkɑːlʲɑːnˠ,ˈʃc'ɑːlʲɛɑːnˠ,73
scóip,Munster; Connacht,sˠkoːpʲ,ˈʃc'oːpʲ,57
scóig,Munster; Connacht,sˠkoːɟ,ˈʃc'oːɟ,50
scóir,,sˠkoːɾʲ,ˈʃc'oːɾʲ,57
sh,,h,ç,0
shleamhna,,"ˈ(h)lʲãunˠə, ˈ(h)lʲãun̪ˠə",ˈhlʲɑunˠa,67
shlíoc,,(h)lʲiːk,ˈhlʲiːʊc,67
shléibhe,Ulster; Connacht,ˈ(h)lʲeːvʲə,ˈhlʲeːɪvʲɛ,80
shneachta,,"ˈ(h)nʲaxt̪ˠə, ˈ(h)nʲãxt̪ˠə",ˈhnˠaxt̪ˠa,70
shnua,,"(h)n̪ˠuː, (h)n̪ˠuːə",ˈçnˠua,50
shníomh,Ulster; Connacht,(h)nʲiːw,ˈhnʲiːoː,67
shrathnaigh,,"ˈ(h)ɾˠahnˠiː, ˈ(h)ɾˠahn̪ˠiː, ˈ(h)ɾˠʌhnˠi, ˈ(h)ɾˠʌhnˠə, ˈ(h)ɾˠʌhn̪ˠi, ˈ(h)ɾˠʌhn̪ˠə",ˈçɾˠaçnʲiː,60
shróna,,"ˈ(h)ɾˠoːnˠə, ˈ(h)ɾˠoːn̪ˠə",ˈçɾˠoːnˠa,67
sréin,,"sˠɾˠeːnʲ, ʂ(ɽ)eːnʲ",ˈʃɾʲeːnʲ,62
suíomh gréasáin,Connacht,ˌsˠiːw ˈɟɾʲeːsˠɑːnʲ,ˈsˠuiːoː ˈɟɾʲeːaʃɑːnʲ,74
teagasc,,"c, k",ˈtʲɑɡasc,25
teach pobail,Munster; Connacht,ˌtʲax ˈpˠɔbˠəlʲ,ˈtʲəx ˈpˠɛbʲailʲ,67
teach ósta,Munster; Connacht,ˌtʲax ˈoːsˠt̪ˠə,ˈtʲəx ˈoːsˠt̪ˠa,80
teoiric chinnteoireachta,Connacht,ˌtʲoːɾʲəc ˈçɪn̠ʲtʲoːɾʲəxt̪ˠ,ˈtʲoːɾʲɪc' ˈçɪn̠ʲtʲoːɾʲəxt̪əaa,89
th,,h,ç,0
th',,h,ç',0
thláith,Connacht,(h)lˠɑː,ˈçlʲɑːç,46
threabh,Connacht,ˈ(h)ɾʲəu,ˈhɾʲəu,83
tine chreasa,,ˌtʲɪnʲə ˈçɾʲasˠə,ˈtʲɪnʲɛ ˈxɾʲɑsˠa,69
tithe ósta,Munster; Connacht,ˌtʲɪhə ˈoːsˠt̪ˠə,ˈtʲɪhə ˈoːsˠt̪ˠa,88
tóin in airde,Connacht,"ˌt̪ˠuːnʲ əˈn̪ˠaiɾʲdʲə, ˌt̪ˠuːnʲ əˈn̪ˠɑːɾˠdʲə",ˈtʲoːnʲ ˈiːnʲ ˈaiɾʲdʲɛ,59
uaimh,,uəvʲ,ˈʊaiː,0
uaisle,Ulster; Connacht,ˈuəʃl̠ʲə,ˈʊaiʃlʲɛ,50
uaill,,uəl̠ʲ,ˈʊail̠ʲ,60
ucht,Connacht,ɔxt̪ˠ,ˈʊxt̪ˠ,80
uileag,,"əˈlʲɞɡ, əˈlʲʊɡ",ˈɪlʲɑɡ,67
uirlis,,ˈuːɾˠl̠ʲəʃ,ˈɪɾʲlʲɪʃ,50
uisce,,"ˈiʃcə, ˈiʃcɪ",ˈɪʃc'ɛ,50
ultach,Connacht,ˈul̪ˠt̪ˠəx,ˈʊlˠt̪ˠəx,78
um,,ʊmˠ,uːmˠ,67
umhlú,Connacht,ˈuːlˠuː,ˈʊwlˠuː,71
umhal,Connacht,"uːlˠ, uːl̪ˠ",ˈʊwalˠ,33
uncail,,ˈʊŋkəlʲ,ˈɛnʲc'ailʲ,29
urchóideach,Connacht,ˈʊɾˠəxoːdʲəx,ˈɛɾʲçoːdʲəx,64
urchóid,Connacht,ˈɔɾˠəxoːdʲ,ˈɪɾʲçoːdʲ,56
urlár,Connacht,ˈauɾˠl̪ˠɑːɾˠ,ˈʊɾˠlˠɑːɾˠ,80
urla,Connacht,ˈuːɾˠl̪ˠə,ˈʊɾˠlˠa,57
urnaí,Connacht,ˈuːɾˠn̪ˠiː,ˈɪɾʲnʲiː,50
uí,,iː,ˈuiː,100
uíbh,,iːvʲ,ˈuiːvʲ,100
vác,Connacht,wɑːk,ˈvɑːc,50
vása,Connacht,ˈwɑːsˠə,ˈvɑːsˠa,71
vóta,Connacht,ˈwoːt̪ˠə,ˈvoːt̪ˠa,75
yé,,jeː,ˈyeː,67
Áine,,ˈaːnʲə,ˈɑːnʲɛ,67
Íosa Críost,,ˌiːsˠə ˈcɾʲiːsˠt̪ˠ,ˈiːʊsˠa ˈc'ɾʲiːʊsˠt̪ˠ,78
Ó Cathasaigh,,ˈkahəsˠiː,oː ˈcaçaʃiː,47
áinsíoch,Connacht,ˈaːn̠ʲʃiəx,ˈɑːnʲʃiːʊ,67
áinsí,Connacht,ˈaːn̠ʲʃiː,ˈɑːnʲʃiː,75
áis,,"aːʃ, ɑːʃ",ˈɑːʃ,75
áisiúil,,ˈaːʃuːlʲ,ˈɑːʃɪuːlʲ,75
ár,Connacht,"ə, əɾˠ",ˈɑːɾˠ,40
átha,,ˈaːhə,ˈɑːça,40
éirigh,Connacht,"ˈaiɾʲiː, ˈaiɾʲə",ˈeːɾˠiː,57
éirím,Connacht,ˈəiɾʲiːmʲ,ˈeːɾʲiːmʲ,78
éirigh,,ˈiːɾʲiː,ˈeːɾʲiː,86
ólfaidh,,"ˈɔːlˠhi, ˈɔːlˠhə, ˈɔːl̪ˠhi, ˈɔːl̪ˠhə",ˈoːlʲfʲiː,44
ómrach,,ˈuːmˠɾˠəx,ˈoːmˠɾˠəx,89
úth,,uː,ˈʊt̪ˠ,0
