tags,ipa,word
Connacht ; Munster ,/ˈdʲɾʲoːtʲə/,dreoite
Connacht ; Munster ,/ʃoːdʲ/,seoid
Connacht ; Ulster ,/ɡlˠasˠ/,glas
Connacht ,/uːl̪ˠ/,umhal
Connacht ; Munster ,/ˈl̠ʲeːksˠəx/,léacsach
Connacht ,/əvˠ/,-adh
Connacht ,/l̠ʲəuɾʲ/,leabhair
Connacht ,/ax/,ach
Connacht ,/ˈuəl̪ˠəx/,ualach
Connacht ,/ˈmˠɑːhəɾʲ/,máthair
Connacht ,/ˈd̪ˠʊl̪ˠwə/,d'ullmhaigh
Connacht ,/ˈmˠaɾˠkɑːlʲ/,marcáil
Connacht ,/bˠɾˠoːn/,bronn
Connacht ,/ˈcɛl̠ʲtʲəx/,Ceilteach
Connacht ,/klˠuː/,clúmh
Connacht ,/ˈtʲɾʲɪbˠlˠoːdʲ/,trioblóid
Connacht ,/ˈl̠ʲiːnˠəvˠ/,líonadh
Connacht ,/ˈbʲɾʲabˠətʲ/,breabadh
Connacht ,/ˈahəɾʲ/,athair
Connacht ,/ˈa(ɡə)mˠ/,agam
Connacht ,/ˈfˠɑːn̠ʲə/,fáinne
Connacht ,/ˈdʲiːlʲʃə/,dílse
Connacht ; Ulster ,/xɾˠɪn̠ʲ/,chrainn
Connacht ; Connacht ,/kon̪ˠəˈmaɾˠə/,Conamara
Connacht ; Connacht ,[ˈkaːlʲiːnʲiː],cailíní
Connacht ,/ˈkɔhə/,cothaigh
Connacht ; Munster ,/kɑːɾˠt̪ˠ/,cárt
Connacht ,/ˈɡɾˠoiɟanˠ/,gróigeán
Connacht ; Ulster ,/sˠt̪ˠalʲc/,stailc
Connacht ,/ˈmuː.iːn̪ˠ/,mothaíonn
Connacht ,/ˈdʲiːbʲɾʲiːw/,díbríodh
Connacht ,/ˈeːvˠlˠoːdʲəx/,éabhlóideach
Connacht ; Ulster ,/ˈtʲil̠ʲuː/,tuilleadh
Connacht ,/ˈbˠɑːkɑːlʲ/,bácáil
Connacht ,/ˈɑːɾˠəsˠɑːnˠ/,árasán
Connacht ,/ˈaibʲɾʲə/,oibre
Connacht ,/ˈkoːɾʲə/,cóirigh
Connacht ,/ˈbˠɔhoːɡ/,bothóg
Connacht ,/ˈl̠ʲeʃceːlˠ/,leithscéal
Connacht ; Munster ,/ɣoː/,dhó
Connacht ,/(ɣ)iːbˠ/,dhíobh
Connacht ; Munster ,/sˠɑːɾˠ/,sár
Connacht ,/ˈbʲeːɾˠl̪ˠə/,béarla
Connacht ,/ˈeːd̪ˠiː/,éadaigh
Connacht ,/ˈɡɾˠɑːn̠ʲə/,Gráinne
Connacht ,/ˈɔɾˠdʲə/,airde
Connacht ,/ˈfˠad̪ˠuː/,fadú
Connacht ; Ulster ,/klˠɔx/,cloch
Connacht ,/ˈmʲiːˌuːn̪ˠwəɾˠ/,mífhonnmhar
Connacht ,/ˈd̪ˠoːlˠhətʲ/,d'ólfadh
Connacht ,/ˈɟɑːɾˠˌamˠ/,gearr-am
Connacht ,/bʲɑːn̪ˠ/,beann
Connacht ,/dʲliː/,dlí
Connacht ,/æsˠ/,as
Connacht ,/ˈd̪ˠoːxəsˠ/,dóchas
Connacht ,/ˈt̪ˠɾˠʊmˠɑːn̪ˠ/,tromán
Connacht ; Munster ,/bˠɑːɾˠ/,barr-
Connacht ,/ˈæːɾʲə/,airigh
Connacht ; Ulster ,/bʲɾʲeːɡ/,bréag
Connacht ,[ˈɑːɡlˠəʃə],eaglaise
Connacht ,[ˈsˠiːlʲɑːl̪ˠəxiː],suíleálacha
Connacht ,/mˠuː/,mothaigh
Connacht ; Ulster ,[ˈkiːɡəd̪ˠ],caogad
Connacht ; Munster ,/ˈkɑːrdʲəx/,cairdeach
Connacht ,/sˠmʲeːɾˠ/,sméar
Connacht ; Munster ,/ɡəˈbˠɾˠɑːx/,go brách
Connacht ,/ˈkalʲiːnʲiː/,cailíní
Connacht ; Ulster ,/ˈtʲil̠ʲətʲ/,tuilleadh
Connacht ; Ulster ,/ˈɟal̪ˠt̪ˠə/,geallta
Connacht ,/ˈfˠlˠæhuːlˠəxt̪ˠ/,flaithiúlacht
Connacht ,/ˈkɔl̪ˠəmˠɑːn̪ˠ/,Colmán
Connacht ; Munster ,/ˈmʲaɾˠə/,mearadh
Connacht ; Munster ,/oː/,ó
Connacht ,/ˈeːd̪ˠə/,éadaí
Connacht ; Munster ,/fˠoːl̠ʲ/,fóill
Connacht ,[ˈpˠlˠɑːt̪ˠiː],plátaí
Connacht ,/ˈʃiːl̪ˠɾˠiː/,síolraigh
Connacht ,/ɡl̪ˠasˠ/,glas
Connacht ; Munster ,/ˈmˠiːn̠ʲtʲəɾʲ/,muintir
Connacht ,/ˈəiɾʲiː/,éirí
Connacht ,/ˈtʲukə/,tiocfaidh
Connacht ,/ˈl̠ʲavˠ/,leamh
Connacht ; Ulster ,/ˈɡasˠɾˠə/,gasra
Connacht ; Ulster ,/ˈtʲɪn̠ʲəsˠ/,tinneas
Connacht ,/ˈɑːwəl/,ádhúil
Connacht ,/ˈt̪ˠəuxɑːn̪ˠ/,toghchán
Connacht ,/ˈæɟnʲə/,aigne
Connacht ,/ˈsˠkaɾˠuː/,scaradh
Connacht ; Munster ,/ˈmˠɑːsˠəx/,másach
Connacht ,/ˈʃɪmʲpʲlʲiː/,simplí
Connacht ; Munster ,/ˈɔsˠkəɾˠ/,oscar
Connacht ,/t̪ˠnˠɑː/,tnáith
Connacht ; Munster ,/ˈɟul̪ˠə/,giolla
Connacht ,/vʲɛtʲ/,bheadh
Connacht ,/ˈɡɾˠoːɟ/,gróig
Connacht ,/ˈænʲə/,aithnigh
Connacht ,/ˈsˠt̪ˠaɡuːnˠ/,stagún
Connacht ,/ˈbˠɑːɾˠn̠ʲəx/,bairneach
Connacht ,[ˈabˠəɾʲtʲiː],abairtí
Connacht ,/ˈmˠɑːlʲiːnʲ/,máilín
Connacht ,[ˈfˠaːɾˠɪɟə],farraige
Connacht ,/ˈt̪ˠʊmˠəxiː/,tomacha
Connacht ,/ˈdʲaɾˠkətʲ/,dearcadh
Connacht ; Ulster ,/sˠpˠlˠaŋk/,splanc
Connacht ; Connacht ,/əˈmʲiçə/,imithe
Connacht ,/d̪ˠoː/,dóigh
Connacht ,/tʲeːw/,téamh
Connacht ,/ci/,cith
Connacht ,/ˈaɡoːdʲ/,agóid
Connacht ; Munster ,/ˈɑːtʲəvˠ/,áiteamh
Connacht ; Connacht ; Ulster ,/ˈasˠəl̪ˠ/,asal
Connacht ; Munster ,/ˈkiːnʲə/,caoineadh
Connacht ; Munster ,/sˠɑːlʲ/,sáil
Connacht ; Munster ,/ˈpˠoːɾˠʃə/,póirse
Connacht ,/cɾʲiəx/,críoch
Connacht ,/t̪ˠaʃ/,tais
Connacht ,/ɡɾˠaː/,gnaithe
Connacht ,/ˈbʊn̪ˠuːsˠəx/,bunúsach
Connacht ,/ˈd̪ˠuːɾˠəvˠ/,dúradh
Connacht ; Munster ,/ˈbʲahɑʃnʲeːʃiː/,beathaisnéisí
Connacht ,/ˈd̪ˠasˠt̪ˠə/,d'astaigh
Connacht ; Connacht ,/cinˠ/,cion
Connacht ; Ulster ,/ˌiːnʲə ˈçeːsˠt̪ˠə/,Aoine an Chéasta
Connacht ,/ˈceːlʲiːəx/,céilíoch
Connacht ,/fʲiːd̪ˠ/,fichead
Connacht ; Munster ,/cɾʲɛdʲ/,creid
Connacht ; Connacht ,[ˈaɡlˠəʃiː],eaglaisí
Connacht ,,d'aithneodh
Munster ; Connacht ; Munster ,/fʲiːn̠ʲ/,finn
Connacht ,/ˈbʲiːdʲəx/,bídeach
Connacht ; ,/əɾˠəbˠ/,orthu
Connacht ,/ˈbʲalˠiː/,bealaigh
Connacht ,/ˈɡɔl̠ʲuːnˠəx/,goilliúnach
Connacht ,/klˠuːv/,clúmh
Connacht ,/ˈuəɟnʲəx/,uaigneach
Connacht ; Munster ,[ˈɟɯl̪ˠə],giolla
Connacht ,/vʲɛx/,bheadh
Connacht ,/ˈkuːlˠuː/,cúlú
Connacht ,[ˈt̪ˠɑːwəxt̪ˠəx],tábhachtach
Connacht ,/ˈd̪ˠɔɾˠəxə/,dorcha
Connacht ,,moladh
Connacht ,/ˈkl̪ˠaixiː/,claíocha
Connacht ; Ulster ,/n̠ʲeːlˠ/,néal
Connacht ,/ˈɡal̪ˠɑːnˠ/,gallán
Connacht ,/kuəɾˠtʲ/,cuairt
Connacht ,/ˈɟaɾˠə/,gearradh
Connacht ,/ˈd̪ˠɪvʲə/,duibhe
Connacht ,/ˈt̪ˠɑːl̠ʲuːɾʲ/,táilliúir
Connacht ,/ˈæhəɾʲ/,athair
Connacht ; Ulster ,/bˠɾˠɪmʲ/,broim
Connacht ,/bˠænʲ/,bain
Connacht ,/ˈkuːɾʲlʲə/,comhairle
Connacht ,[ˈtʲɾʲæːsˠn̪ˠə],trasna
Connacht ,/ˈfˠɾˠaːŋkəx/,Francach
Connacht ,/ˈimʲlʲəkɑːnˠ/,imleacán
Connacht ,/ˈʃeːdʲətʲ/,séideadh
Connacht ,/ˈɑt̪ˠɾˠəbˠ/,eatarthu
Connacht ,/ˈʃiːnʲuː/,síneadh
Connacht ,/fʲuːn̪ˠ/,fionn
Connacht ,/d̪ˠɾˠuːxt̪ˠ/,drúcht
Connacht ,/ˈkɪn̠ʲɑːlʲ/,coinneáil
