,word,tags,ipa,results,match
93,Baile Meánach,Connacht,ˌbˠalʲə ˈmʲɑːnˠəx,ˈbˠailʲɛ ˈmʲɛɑːnˠəx,0.8181818181818181
94,Baile Meánach,Munster; Connacht,ˌbˠalʲə ˈmʲɑːn̪ˠəx,ˈbˠailʲɛ ˈmʲɛɑːnˠəx,0.8181818181818181
95,Baile Nua na hArda,Connacht,ˌbˠalʲə ˌn̪ˠuː n̪ˠə ˈhɑːɾˠd̪ˠə,ˈbˠailʲɛ ˈnˠua ˈnˠa ˈhaɾˠd̪ˠa,0.8666666666666667
96,Baile na Mainistreach,Munster; Connacht,ˌbˠalʲə n̪ˠə ˈmˠanʲəʃtʲɾʲəx,ˈbˠailʲɛ ˈnˠa ˈmˠainʲɪʃtʲɾʲmʲKɾʲ_SUFFIX_ƏX,0.8823529411764706
97,Baile Átha Cliath,Munster; Connacht,ˌbʲlʲɑː ˈclʲiə,ˈbˠailʲɛ ˈɑːça ˈclʲiəç,0.5454545454545454
98,Baile Átha Luain,Munster; Connacht,ˌbʲlʲɑː ˈl̪ˠuənʲ,ˈbˠailʲɛ ˈɑːça ˈlˠʊainʲ,0.5833333333333333
106,Bh,,"vʲ, w",w,1.0
107,Bhaile Átha Cliath,Munster; Connacht,ˌvʲlʲɑː ˈclʲiə,ˈwailʲɛ ˈɑːça ˈclʲiəç,0.4545454545454546
108,Bhrasaíl,,vˠɾˠaˈsˠiːlʲ,ˈwɾˠasmʲKɾʲ_AIACTlˠnˠGlʲ,0.8333333333333334
121,Béal Feirste,,"ˌbʲeːlˠ ˈfʲɛɾˠʃtʲə, ˌbʲeːl̪ˠ ˈfʲɛɾˠʃtʲə",ˈbʲeːalˠ ˈfʲɛɾʲʃtʲɛ,0.9
139,Ceallach,Connacht,ˈcal̪ˠəx,ˈkal̪ˠəx,0.8
142,Ceatharlach,Munster; Connacht,ˈcahəɾˠl̪ˠəx,ˈkaçaɾˠlˠəx,0.75
144,Ch,,"x, ç",k,1.0
145,Cheatharlach,Connacht,ˈçɑːɾˠl̪ˠəx,ˈcçæçaɾˠlˠəx,0.8333333333333334
146,Cheatharlach,Munster; Connacht,ˈçahəɾˠl̪ˠəx,ˈkhaçaɾˠlˠəx,0.8571428571428572
147,Chian,,çiənˠ,ˈcçiənˠ,1.0
148,Chiribeas,,ˈxɪɾʲəˌbas,ˈcçɪɾʲɪbʲɑsˠ,0.8571428571428572
149,Cholm,,"ˈxɔlˠəmˠ, ˈxɔl̪ˠəmˠ",ˈkhʊlˠmˠ,0.8
150,Cholm Cille,Ulster; Connacht,"ˌxɔlˠəmˈcɪl̠ʲə, ˌxɔl̪ˠəmˈcɪl̠ʲə",ˈkhʊlˠmˠ ˈcɪl̠ʲɛ,0.7777777777777778
151,Chonnacht,Connacht,ˈxʊn̪ˠəxt̪ˠ,ˈkhʊn̪ˠakht̪ˠ,1.0
152,Chonnachta,Connacht,ˈxʊn̪ˠəxt̪ˠə,ˈkhʊn̪ˠakht̪ˠa,1.0
153,Cháit,Munster; Connacht,xɑːtʲ,ˈkhɑːtʲ,0.6666666666666667
154,Chásca,Munster; Connacht,ˈxɑːsˠkə,ˈkhɑːsˠka,1.0
160,Cireabaití,,ˈkɪɾʲəˌbatiː,ˈcɪɾʲɑbˠaimʲKɾʲ_SUFFIX_TII_ACT,0.8888888888888888
161,Ciribeas,,ˈkɪɾʲəˌbas,ˈcɪɾʲɪbʲɑsˠ,1.0
163,Cloch na Blarnan,Munster; Connacht,ˌklˠɔx n̪ˠə ˈbˠlˠɑːɾˠn̪ˠənˠ,ˈklˠʊk ˈnˠa ˈbˠlˠaɾˠnˠanˠ,1.0
164,Clocha Liatha,Ulster; Connacht,"n̪ˠə ˌklˠɔxə ˈl̠ʲiəhə, n̪ˠə ˌkl̪ˠɔxə ˈl̠ʲiəhə",ˈklˠʊkha ˈlʲiəça,0.75
168,Colm Cille,Ulster; Connacht,"ˌkɔlˠəmˈcɪl̠ʲə, ˌkɔl̪ˠəmˈcɪl̠ʲə",ˈkʊlˠmˠ ˈcɪl̠ʲɛ,0.7777777777777778
185,Cúil Raithin,,ˌkuːlʲ ˈɾˠahənʲ,ˈkmʲKɾʲ_SUFFIX_UUlˠ'J ˈɾˠaiçɪnʲ,0.8888888888888888
186,Daidí na Nollag,,ˌd̪ˠadʲiː n̪ˠə ˈnˠɔl̪ˠəɡ,ˈd̪ˠɪdʲiː ˈnˠa ˈnˠʊl̪ˠaɡ,1.0
192,Dh,,"j, ɟ, ɣ",ɣ,1.0
193,Dhaidí na Nollag,,ˌɣadʲiː n̪ˠə ˈnˠɔl̪ˠəɡ,ˈɣɪdʲiː ˈnˠa ˈnˠʊl̪ˠaɡ,1.0
196,Dia dhaoibh,,ˌdʲiə ˈɣiːvʲ,ˈdʲiə ˈɣiːvʲ,1.0
197,Dia dhuit,,ˌdʲiə ˈɣɪtʲ,ˈdʲiə ˈɣɪtʲ,1.0
198,Dia duit,,ˌdʲiə ˈd̪ˠɪtʲ,ˈdʲiə ˈd̪ˠɪtʲ,1.0
199,Dia's Muire duit,,ˌdʲiəs ˈmˠɪɾʲə ˈd̪ˠɪtʲ,ˈdʲiə'sˠ ˈmˠɪɾʲɛ ˈd̪ˠɪtʲ,1.0
205,Droichead Nua,Connacht,"ˌd̪ˠɾˠeːd̪ˠ ˈn̪ˠuː, ˌd̪ˠɾˠəid̪ˠ ˈn̪ˠuː",ˈd̪ˠɾˠɛhəd̪ˠ ˈnˠua,0.7777777777777778
215,Déardaoin,Connacht,ˌdʲeːɾˠˈd̪ˠiːnʲ,ˈdʲeːaɾˠd̪ˠiːnʲ,0.8571428571428572
217,Dún Dealgan,Ulster; Connacht,"ˌd̪ˠuːnˠ ˈdʲalˠəɡənˠ, ˌd̪ˠuːn̠ʲ ˈdʲalˠəɡənˠ, ˌd̪ˠuːn̠ʲ ˈdʲal̪ˠəɡən̪ˠ",ˈd̪ˠuːnˠ ˈdʲɑlɡanˠ,0.9
218,Dún Dealgan,Ulster; Munster; Connacht,ˌd̪ˠuːn̪ˠ ˈdʲal̪ˠəɡən̪ˠ,ˈd̪ˠuːnˠ ˈdʲɑlɡanˠ,0.9
226,Eochaidh,Connacht,ˈɔxiː,ˈoːkhmʲKɾʲ_SUFFIX_IGH,1.0
229,Eoin,,oːnʲ,ˈmˠKɾˠ_EOITɾʲIGOlˠnˠGnʲ,1.0
236,Fhaoilleach,Connacht,ˈiːl̠ʲəx,ˈmˠKɾˠ_AOIlˠ'nˠ'Gl̠ʲmʲKɾʲ_SUFFIX_ƏX,1.0
243,Fine Gael,,ˌfʲɪnʲə ˈɡeːlˠ,ˈfʲɪnʲɛ ˈɡeːlʲ,1.0
272,Gearmáinis,Connacht,ˈɟaɾˠəmˠɑːnʲɪʃ,ˈɡaɾˠmˠɑːnʲɪʃ,0.8888888888888888
273,Gearóid,Connacht,ˈɟaɾˠoːdʲ,ˈɡarmʲKɾʲ_OIACTlˠnˠGdʲ,1.0
274,Gh,,"j, ɟ, ɣ",ɡ,1.0
275,Ghaelach,Connacht,ˈɣeːlˠəx,ˈɡheːlʲmʲKɾʲ_SUFFIX_ƏX,1.0
276,Ghaelach,Munster; Connacht,ˈɣeːl̪ˠəx,ˈɡheːlˠəx,1.0
277,Giúdach,Munster; Connacht,ˈɟuːd̪ˠəx,ˈɡʊd̪ˠəx,1.0
279,Gréigis,,ˈɟɾʲeːɟɪʃ,ˈɡɾʲeːɡɪʃ,1.0
282,Iarmhí,Ulster; Connacht,əˌn̠ʲiəɾˠˈvʲiː,ˈiəɾʲvʲiː,0.7142857142857143
283,Idirlíon,,"-ˌl̠ʲiːnˠ, ˈɪdʲəɾʲˌl̠ʲiːn̪ˠ",ˈɪdʲɪɾʲlʲiːʊnˠ,0.875
286,Indiacha,Connacht,ˈinʲiəxə,ˈɪnʲiəkha,0.8333333333333334
290,Inis Meáin,,ˌɪnʲəʃ ˈmʲɑːnʲ,ˈɪnʲɪʃ ˈmʲɛɑːnʲ,0.875
294,Iúil,,uːlʲ,ˈɪmʲKɾʲ_SUFFIX_UUlˠ'J,0.6666666666666667
295,Iúr,Ulster; Connacht,ən̠ʲˈtʲuːɾˠ,ˈɔɾˠ,0.4
301,Leitir Ceanainn,Ulster; Connacht,"ˌl̠ʲɛtʲəɾʲ ˈcanˠən̠ʲ, ˌl̠ʲɛtʲəɾʲ ˈcan̪ˠən̠ʲ",ˈlʲɛtʲɪɾʲ ˈcɑnˠamˠKɾˠ_SUFFIX_Inˠ'nˠ'_VEɾʲB,0.8181818181818181
306,Loch Garman,,"ˌl̪ˠɔx ˈɡaɾˠəmˠənˠ, ˌl̪ˠɔx ˈɡaɾˠəmˠən̪ˠ",ˈlˠʊk ˈɡaɾˠmˠanˠ,0.9
309,Luan Cásca,Connacht,ˌl̪ˠuənˠ ˈkɑːsˠkə,ˈlˠuanˠ ˈkɑːsˠka,1.0
310,Luan Cásca,Munster; Connacht,ˌl̪ˠuən̪ˠ ˈkɑːsˠkə,ˈlˠuanˠ ˈkɑːsˠka,1.0
312,Lá Fhéile,,ˌl̪ˠɑː ˈeːlʲə,ˈlˠɑː ˈeːlʲɛ,1.0
313,Lá Fhéile Pádraig,,ˌl̪ˠɑː ˌeːlʲə ˈpˠɑːɾˠɪc,ˈlˠɑː ˈeːlʲɛ ˈpˠɑːd̪ˠɾˠaiɡ,0.8333333333333334
323,Meán Fómhair,,ˌmʲɑːn̪ˠ ˈfoːwəɾʲ,ˈmʲɛɑːnˠ ˈfˠoːwaiɾʲ,0.8
324,Mh,,"vʲ, w",w,1.0
330,Muileann gCearr,,"ənˠ ˌmˠɪlʲən̪ˠ ˈɟɑːɾˠ, ən̪ˠ ˌmˠɪlʲən̪ˠ ˈɟɑːɾˠ",ˈmˠɪlʲmʲKɾʲ_SUFFIX_Ənˠ_VEɾˠB ˈɡkaɾˠ,0.7
349,Nc,,"ŋk, ɲc",ˈnk,1.0
361,Nás,Munster; Connacht,ə(n̪ˠ)ˈn̪ˠɑːsˠ,ˈnˠɑːsˠ,0.6
362,Nás na Ríogh,Munster; Connacht,ˌn̪ˠɑːsˠ n̪ˠə ˈɾˠiː,ˈnˠɑːsˠ ˈnˠa ˈɾʲiːʊɡ,1.0
364,Ocsatánais,,"ɔksəˈtˠaːnˠɪʃ, ˈɔksətˠaːnˠɪʃ",ˈʊksˠat̪ˠɑːnˠaiʃ,0.9
365,Odhrán,Connacht,ˈoːɾˠɑːnˠ,ˈʊɣɾˠɑːnˠ,0.8
367,Oisín,Connacht,ˈɔʃiːnʲ,ˈɛʃmʲKɾʲ_SUFFIX_IInˠ'J,1.0
368,Ollainnis,,ˈɔl̪ˠən̠ʲəʃ,ˈʊl̪ˠain̠ʲɪʃ,0.8571428571428572
369,Ostair,,ˈɔsˠt̪ˠəɾʲ,ˈʊsˠt̪ˠaiɾʲ,0.8333333333333334
400,Róimh,,ˈɾˠõːvʲ,ˈrmʲKɾʲ_OIACTlˠnˠGvʲ,0.6666666666666667
401,Róimhe,,ˈɾˠõːvʲə,ˈrmʲKɾʲ_OIACTlˠ'nˠ'Gvʲɛ,0.75
402,Róis,,ɾˠoːʃ,ˈrmʲKɾʲ_OIACTlˠnˠGʃ,1.0
403,Róisín,Connacht,ˈɾˠoːʃiːnʲ,ˈrmʲKɾʲ_OIACTlˠ'nˠ'GʃmʲKɾʲ_SUFFIX_IInˠ'J,1.0
416,Sasana Nua,,ˌsˠasˠənˠə ˈn̪ˠuə,ˈsˠasˠanˠa ˈnˠua,1.0
425,Seán,Munster; Connacht,ʃɑːn̪ˠ,ˈsˠɛɑːnˠ,0.75
426,Sh,,h,ç,0.0
427,Shamhain,Connacht,"həunʲ, ˈhɑvˠən",ˈçəuinʲ,0.75
430,Shligigh,Connacht,ˈhlʲɪɟiː,ˈçlʲɪɡmʲKɾʲ_SUFFIX_IGH,1.0
439,Sord Cholm Cille,Connacht,"ˌsˠauɾˠd̪ˠ xɔlˠəm ˈcɪl̠ʲə, ˌsˠauɾˠd̪ˠ xɔl̪ˠəm ˈcɪl̠ʲə",ˈsˠɔɾˠd̪ˠ ˈkhʊlˠmˠ ˈcɪl̠ʲɛ,0.7857142857142857
444,Stiofáin,Connacht,ˈʃtʲʊfˠɑːnʲ,ˈsˠt̪ˠɪfˠɑːnʲ,1.0
445,Stiofán,Connacht,"ˈʃtʲʊfˠɑːnˠ, ˈʃtʲʊfˠɑːn̪ˠ",ˈsˠt̪ˠɪfˠɑːnˠ,1.0
455,Th,,h,ç,0.0
456,Thiarna,,ˈhiəɾˠn̪ˠə,ˈçiəɾˠnˠa,1.0
459,Tiobraid Árann,,ˌtʲʊbˠɾˠədʲ ˈɑːɾˠən̪ˠ,ˈtʲɪbˠɾˠaidʲ ˈɑːɾˠən̪ˠ,0.9090909090909091
468,Tír na nÓg,Munster; Connacht,ˌtʲiːɾˠ n̪ˠə ˈn̪ˠoːɡ,ˈtʲiːɾʲ ˈnˠa ˈnˠoːɡ,1.0
469,Uaimh,,əˈn̪ˠuəvʲ,ˈuamˠKɾˠ_IVOCmʲFInˠ',0.6
473,Uí,,iː,ˈuiː,0.5
474,Uíbh,,iːvʲ,ˈuiːvʲ,0.6666666666666667
475,Uíbh Fhailí,Ulster; Connacht,ˌiːvʲ ˈalʲiː,ˈuiːvʲ ˈɪlʲiː,0.8333333333333334
477,Vallúinis,,wal̪ˠuːnʲɪʃ,ˈval̪ˠuːɪnʲɪʃ,0.75
482,Volaifis,,wɔl̪ˠəfʲɪʃ,ˈvʊlˠaifʲɪʃ,0.75
484,a,,ə,a,1.0
485,a chairde,Munster; Connacht,ə ˈxɑːɾˠdʲə,a ˈkhaiɾʲdʲɛ,0.8333333333333334
486,a chara,,ə ˈxaɾˠə,a ˈkhaɾˠa,1.0
487,a chlog,Connacht,"oːˈxlˠoɡ, əˈxlˠoɡ",a ˈkhlˠʊɡ,1.0
488,a chéile,,əˈçeːlʲə,a ˈcçeːlʲɛ,1.0
489,a lán,Munster; Connacht,əˈl̪ˠɑːnˠ,a ˈlˠɑːnˠ,1.0
490,a',,ə,a',1.0
501,abhaile,Connacht,əˈwalʲə,ˈaʊailʲɛ,0.6666666666666667
502,abhaill,,ˈəuwəl̠ʲ,ˈaʊail̠ʲ,0.8
504,abhna,,ˈoːn̪ˠə,ˈaʊnˠa,0.75
505,abhras,,ˈəuɾˠəsˠ,ˈaʊɾˠasˠ,1.0
512,abú,,əˈbˠuː,ˈabˠuː,1.0
524,acústaic,,əˈkuːsˠt̪ˠɪc,ˈakuːsˠt̪ˠaic,0.75
525,ad,,əd̪ˠ,ad̪ˠ,1.0
526,adamh,Munster; Connacht,ˈɑd̪ˠəvˠ,ˈad̪ˠɑu,0.75
527,adhairc,,"ˈəiəɾʲc, ˈəiɾʲc",ˈaiɪɾʲc,0.8
528,adhall,,ˈəiəl̪ˠ,ˈɑːl̪ˠ,0.5
529,adharc,Connacht,ˈai(ə)ɾˠk,ˈɑːrk,0.6
530,adharca,,ˈəi(ə)ɾˠkə,ˈaiɾˠka,0.8333333333333334
531,adhlacóir,Connacht,ˈəil̪ˠəkoːɾʲ,ˈaɣlˠakmʲKɾʲ_SUFFIX_OOIɾʲJ,0.8571428571428572
532,adhlaic,Connacht,"ˈɑːl̪ˠəc, ˈəil̪ˠəc",ˈaɣlˠaic,0.5
533,adhnaic,Connacht,ˈəin̪ˠəc,ˈaɣnˠaic,0.5
534,aduaidh,Ulster; Connacht,"əˈd̪ˠuə, əˈd̪ˠuəj",ˈad̪ˠɛmʲKɾʲ_SUFFIX_IGH,1.0
543,ag,,"ə, əɟ, əɡ, ɛɟ, ɪɟ",aɡ,1.0
546,agaibh,Aran; Connacht,ˈɑɡiː,ˈaɡaɪvʲ,0.6
548,agaibh,Mayo; Connacht,əɡiː,ˈaɡaɪvʲ,0.6
554,agam,Galway; Connacht,ˈɑɡəmˠ,ˈaɡamˠ,1.0
555,agam,Mayo; Connacht,ˈuɡəmˠ,ˈaɡamˠ,1.0
558,agat,Galway; Connacht,ˈɑː(ɡə)t̪ˠ,ˈaɡat̪ˠ,1.0
559,agat,Mayo; Connacht,ˈuɡəd̪ˠ,ˈaɡat̪ˠ,1.0
565,aici,Connacht,"ˈɛciː, ˈɛcə",ˈaicɪ,0.5
566,aicise,,ˈɛcɪʃə,ˈaicɪʃɛ,0.6666666666666667
568,aicmí,,ˈacmʲiː,ˈɪcmʲiː,0.75
569,aidhmeannas,,ˈəimʲən̪ˠəsˠ,ˈmʲKɾˠ_AIDHVOCmʲæn̪ˠasˠ,1.0
572,aige,Connacht,ˈeɟ(ə),ˈaiɡɛ,0.75
573,aiges,,ˈɛɟɪsˠ,ˈaiɡɛʃ,0.8
581,aineolaí,Connacht,ˈan̪ˠoːl̪ˠiː,ˈɪnʲoːlmʲKɾʲ_SUFFIX_A_II,0.8333333333333334
584,ainmhí,Connacht,ˈanʲəvʲiː,ˈɪnʲvʲiː,0.8
590,air,,aɾʲ,ˈɑːɾʲ,1.0
594,airdí,,ˈaːɾˠdʲiː,ˈɪɾʲdʲiː,1.0
600,airleacan,,ˈɑːɾˠl̠ʲəkənˠ,ˈaiɾʲlʲɑkanˠ,0.875
601,airne,Munster; Connacht,ˈɑːɾˠn̠ʲə,ˈaiɾʲnʲɛ,0.8
603,airnéis,,"ˈaːɾˠn̠ʲeʃ, ˈaːɾˠn̠ʲæʃ, ˈaːɾˠn̠ʲɛʃ, ˈʌɾˠn̠ʲæʃ",ˈɪɾʲnʲeːʃ,1.0
604,airnéis,Connacht,ˈɑːɾˠn̠ʲeːʃ,ˈaiɾˠnˠeːsˠ,0.8333333333333334
605,airsean,,ˈɛɾʲʃənˠ,ˈaiɾʲʃɑnˠ,0.8333333333333334
606,airím,Mayo; Aran; Connacht,ˈaɾʲiːmʲ,ˈɪɾʲiːmʲ,1.0
610,aiseag,Ulster; Connacht,ˈæʃək,ˈaiʃæɡ,0.8
622,aithinne,,ˈæhən̠ʲə,ˈaiçɪn̠ʲɛ,0.8333333333333334
640,amach,,əˈmˠax,ˈamˠəx,1.0
641,amach is amach,,əˈmˠax əsˠ əˈmˠax,ˈamˠəx ɪʃ ˈamˠəx,1.0
652,amha,,ˈawə,əu,0.6666666666666667
653,amhairc,Connacht,ˈafˠɪɾʲc,əuiɾʲc,0.6
654,amharc,,ˈaːfˠɾˠək,ˈəuɾˠək,0.8
656,amhráin,Connacht,ˈoːɾˠɑːnʲ,əuɾˠɑːnʲ,0.8
657,amhrán,Connacht,"ˈoːɾˠɑːnˠ, ˈoːɾˠɑːn̪ˠ",əuɾˠɑːnˠ,0.8
658,amhrán,Aran; also; Connacht,ˈɑːɾˠɑːnˠ,əuɾˠɑːnˠ,0.8
659,amháin,Connacht,əˈwɑːnʲ,ˈɑuɑːnʲ,0.75
661,amú,,əˈmˠuː,ˈamˠuː,1.0
662,an,,"ə.nˠ-, ə.n̠ʲ-, ə.n̪ˠ-, ə, ənˠ",anˠ,1.0
663,an rud a fhaightear go bog caitear go bog é,,ən̪ˠ ɾˠʊd̪ˠ ə aɪtʲəɾˠ ɡə bˠɔɡ kɑtʲəɾˠ ɡə bˠɔɡ eː,anˠ ˈɾˠʊd̪ˠ a ˈaiɡçtʲæɾˠ ɡʊ ˈbˠʊɡ ˈkaitʲæɾˠ ɡʊ ˈbˠʊɡ ˈeː,0.9310344827586207
664,an té,,ə(n̠ʲ)ˈtʲeː,anˠ ˈtʲeː,1.0
665,ana-,,ˈɑn̪ˠə,ˈanˠa,1.0
666,anagheairid,,ɑnɑˈjaɾʲədʲ,ˈanˠaɡçaiɾʲɪdʲ,0.8888888888888888
671,aneas,Connacht,əˈn̠ʲasˠ,ˈanʲɑsˠ,1.0
676,anocht,Connacht,əˈnˠɔxt̪ˠ,ˈanˠʊkht̪ˠ,1.0
677,anocht,Munster; Connacht,əˈn̪ˠɔxt̪ˠ,ˈanˠʊkht̪ˠ,1.0
678,anoir,Connacht,əˈn̪ˠɛɾʲ,ˈanˠɛɾʲ,1.0
680,anois,Connacht,əˈnʲiʃ,ˈanˠɛʃ,1.0
683,ansiúd,,ən̪ˠˈʃuːd̪ˠ,ˈanʲʃʊd̪ˠ,1.0
684,anuas,,əˈn̪ˠuəsˠ,ˈanˠuasˠ,1.0
685,aníos,,əˈn̠ʲiːsˠ,ˈanʲiːʊsˠ,0.8
688,aoibheall,,ˈiːvʲəl̪ˠ,ˈmˠKɾˠ_AOIlˠ'nˠ'Gvʲal̪ˠ,1.0
689,aoibheallach,Munster; Connacht,ˈiːvʲəl̪ˠəx,ˈmˠKɾˠ_AOIlˠ'nˠ'Gvʲal̪ˠəx,1.0
690,aoibhinn,Ulster; Connacht,ˈiːvʲən̠ʲ,ˈmˠKɾˠ_AOIlˠ'nˠ'GvʲmʲKɾʲ_SUFFIX_Inˠ'nˠ'_VEɾʲB,1.0
691,aoibhneas,,ˈiːvʲnʲəsˠ,ˈmˠKɾˠ_AOIlˠ'nˠ'Gvʲnʲɑsˠ,1.0
693,aoileach,Munster; Connacht,ˈiːlʲəx,ˈmˠKɾˠ_AOIlˠ'nˠ'GlʲmʲKɾʲ_SUFFIX_ƏX,1.0
694,aoiligh,Connacht,"ˈiːlʲiː, ˈiːlʲə",ˈmˠKɾˠ_AOIlˠ'nˠ'GlʲmʲKɾʲ_SUFFIX_IGH,1.0
695,aoine,,ˈiːnʲə,ˈmˠKɾˠ_AOIlˠ'nˠ'Gnʲɛ,1.0
697,aoire,Ulster; Connacht,ˈiːɾʲə,ˈmˠKɾˠ_AOIlˠ'nˠ'Gɾʲɛ,1.0
701,aon duine,,"eːn̪ˠˈd̪ˠɪnʲə, eːˈn̪ˠɪnʲə, ˈeːn̠ʲə",ˈiːnˠ ˈd̪ˠɪnʲɛ,1.0
702,aon déag,,eːn̠ʲ dʲeːɡ,ˈiːnˠ ˈdʲeːaɡ,0.8333333333333334
703,aonad,,ˈeːnˠəd̪ˠ,ˈiːnˠad̪ˠ,1.0
704,aonaid,,ˈeːnˠədʲ,ˈiːnˠaidʲ,0.8
706,aonghuthach,Connacht,ˈeːn̪ˠˌɣʊhəx,ˈiːnɡhʊçəx,0.7142857142857143
707,aonmhac,Ulster; Connacht,"ˈeːnˠˌwak, ˈeːn̪ˠˌwak",ˈiːnˠwak,1.0
708,aonraic,,ˈeːn̪ˠɾˠɪc,ˈiːnˠɾˠaic,0.6666666666666667
715,ar a fhad,,əɾʲˈad̪ˠ,ɛɾʲ a ˈad̪ˠ,0.8
716,ar a laghad,Munster; Connacht,ˌɛɾʲəˈl̪ˠəid̪ˠ,ɛɾʲ a ˈlˠaɡhad̪ˠ,1.0
722,ar bith,,"əˈbʲɪ(h), ɛɾʲˈbʲɪ(h)",ɛɾʲ ˈbʲɪç',0.8
724,ar buile,Ulster; Connacht,ˈeɾʲˈbˠi.lʲə,ɛɾʲ ˈbˠɪlʲɛ,1.0
726,ar bís,,əɾˠˈbʲiːʃ,ɛɾʲ ˈbʲiːʃ,1.0
727,ar chor ar bith,,ə ˌxɔɾˠ əˈbʲɪ(h),ɛɾʲ ˈkhʊɾˠ ɛɾʲ ˈbʲɪç',0.6666666666666667
733,ar dtús,,əɾˠˈd̪ˠuːsˠ,ɛɾʲ ˈd̪ˠuːsˠ,1.0
736,ar gcúl,,"eɾʲˈɡuːlˠ, eɾʲˈɡuːl̪ˠ, əɾʲˈɡuːlˠ",ɛɾʲ ˈɡkuːlˠ,1.0
739,ar nós,Connacht,əɾˠˈn̪ˠuːsˠ,ɛɾʲ ˈnˠoːsˠ,1.0
748,araon,Munster; Connacht,"əˈɾˠeːnˠ, əˈɾˠeːn̪ˠ",ˈaɾˠiːnˠ,1.0
750,arc,,aɾˠk,ˈɑːrk,1.0
753,arda,,ˈɑːɾˠd̪ˠə,ˈaɾˠd̪ˠa,1.0
754,ardaigh,Connacht,"ˈɑːɾˠd̪ˠiː, ˈɑːɾˠd̪ˠə",ˈaɾˠdmʲKɾʲ_SUFFIX_IGH,1.0
755,ardchlár,Connacht,ˈɑːɾˠd̪ˠˌxlˠɑːɾˠ,ˈaɾˠd̪ˠkhlˠɑːɾˠ,1.0
756,ardfhear,Munster; Connacht,ˈɑːɾˠd̪ˠˌaɾˠ,ˈaɾʲtʲfʲçæɾˠ,0.7142857142857143
757,ardghlórach,Connacht,ˈɑːɾˠd̪ˠˌɣlˠoːɾˠəx,ˈaɾˠdɡhlˠoːɾˠəx,1.0
758,ardrí,,ˌɑːɾˠd̪ˠˈɾˠiː,ˈaɾʲdʲɾʲiː,1.0
759,ardú,Connacht,ˈɑːɾˠd̪ˠuː,ˈaɾˠd̪ˠuː,1.0
766,arán,Connacht,"(ə)ˈɾˠɑːnˠ, (ə)ˈɾˠɑːn̪ˠ",ˈaɾˠɑːnˠ,1.0
767,aréir,Munster; Connacht,əˈɾˠeːɾʲ,ˈaɾʲeːɾʲ,1.0
768,arís,,əˈɾʲiːʃ,ˈaɾʲiːʃ,1.0
771,arú amárach,,əɾˠuːˈmˠɑːɾˠəx,ˈaɾˠuː ˈamˠɑːɾˠəx,0.8888888888888888
774,as cosa i dtaca,,əsˠ ˌkɔsˠə ˈd̪ˠɑkə,asˠ ˈkʊsˠa ɪ ˈd̪ˠaka,0.9090909090909091
792,atá,Munster; Connacht,əˈt̪ˠɑː,ˈat̪ˠɑː,1.0
793,atáim,Munster; Connacht,əˈt̪ˠɑːmʲ,ˈat̪ˠɑːmʲ,1.0
794,atáimid,Munster; Connacht,əˈt̪ˠɑːmʲədʲ,ˈat̪ˠɑːmʲKɾʲ_SUFFIX_mʲID_VEɾʲB,1.0
795,atáthar,Munster; Connacht,əˈt̪ˠɑːhəɾˠ,ˈat̪ˠɑːçaɾˠ,0.8333333333333334
796,aíocht,,iəxt̪ˠ,ˈmʲKɾʲ_AIACTlˠnˠGʊkht̪ˠ,1.0
821,baile mór,Munster; Connacht,ˌbˠalʲə ˈmˠoːɾˠ,ˈbˠailʲɛ ˈmˠoːɾˠ,0.875
886,bean rialta,,ˌbʲanˠ ˈɾˠiəl̪ˠt̪ˠə,ˈbʲɑnˠ ˈɾʲiəlˠt̪ˠa,1.0
894,bearna baoil,,ˌbʲɑːɾˠn̪ˠə ˈbˠiːlʲ,ˈbʲæɾˠnˠa ˈbˠiːlʲ,1.0
895,bearna bhaoil,,ˌbʲɑːɾˠn̪ˠə ˈwiːlʲ,ˈbʲæɾˠnˠa ˈwiːlʲ,1.0
935,bh,,"vʲ, w",w,1.0
936,bhF,,"vʲ, w",w,1.0
939,bhFrainc,,vˠɾˠaɲc,ˈwɾˠainʲc,0.5
940,bhFranc,,ˈvˠɾˠaŋk,ˈwɾˠank,0.8
957,bheanna,,ˈvʲan̪ˠə,ˈwan̪ˠa,0.75
958,bhearr,Munster; Connacht,vʲɑːɾˠ,ˈwɑːɾˠ,0.6666666666666667
976,bhf,,"vʲ, w",w,1.0
1009,bhfreastalaí,,ˈfʲɾʲasˠt̪ˠəlˠiː,ˈvʲɾʲɑsˠt̪ˠalmʲKɾʲ_SUFFIX_A_II,1.0
1012,bhfuil,,bˠilʲ,ˈwiːlʲ,0.6666666666666667
1032,bhlas,Ulster; Connacht,vˠlˠasˠ,ˈwlˠasˠ,0.75
1039,bhoicht,,"vˠɔxtʲ, wɔxtʲ",ˈwɛcçtʲ,1.0
1042,bhranda,,ˈvˠɾˠan̪ˠd̪ˠə,ˈwɾˠanˠa,0.6666666666666667
1043,bhrata,,"ˈvˠɾˠat̪ˠə, ˈwɾˠat̪ˠə",ˈwɾˠat̪ˠa,1.0
1051,bhróin,,"vˠɾˠoːnʲ, wɾˠoːnʲ",ˈwrmʲKɾʲ_OIACTlˠnˠGnʲ,1.0
1057,bhur,Connacht,ə,ˈwɔɾˠ,0.33333333333333337
