,word,tags,ipa,results
290,Inis Meáin,,ˌɪnʲəʃ ˈmʲɑːnʲ,ɪn̪iʃ mʲain̪
294,Iúil,,uːlʲ,ɪəl̪
301,Leitir Ceanainn,Ulster; Connacht,"ˌl̠ʲɛtʲəɾʲ ˈcanˠən̠ʲ, ˌl̠ʲɛtʲəɾʲ ˈcan̪ˠən̠ʲ",l̪ɛtʲiɾʲ cɑn̪əən̠ʲ
306,Loch Garman,,"ˌl̪ˠɔx ˈɡaɾˠəmˠənˠ, ˌl̪ˠɔx ˈɡaɾˠəmˠən̪ˠ",ˈl̪ˠɔx ˈɡaɾˠəmˠən̪ˠ
310,Luan Cásca,Munster; Connacht,ˌl̪ˠuən̪ˠ ˈkɑːsˠkə,l̪uan̪ kasˠkə
309,Luan Cásca,Connacht,ˌl̪ˠuənˠ ˈkɑːsˠkə,l̪uan̪ kasˠkə
313,Lá Fhéile Pádraig,,ˌl̪ˠɑː ˌeːlʲə ˈpˠɑːɾˠɪc,l̪a fçɛl̪ə pˠad̪ɾˠiɟ
323,Meán Fómhair,,ˌmʲɑːn̪ˠ ˈfoːwəɾʲ,mʲɑn̪ fˠʊmˠhiɾʲ
327,Mháire,Connacht,ˈwɑːɾʲə,mˠhaiɾʲi
349,Nc,,"ŋk, ɲc",nk
364,Ocsatánais,,"ɔksəˈtˠaːnˠɪʃ, ˈɔksətˠaːnˠɪʃ",ʊksˠʊ̽t̪ʊ̽n̪iʃ
368,Ollainnis,,ˈɔl̪ˠən̠ʲəʃ,ʊl̪l̪ʊ̽n̪n̪iʃ
369,Ostair,,ˈɔsˠt̪ˠəɾʲ,ʊsˠt̪iɾʲ
370,Oíche Inide,,ˈiːç ˈɪnʲədʲə,ɛcçi ɪn̪idʲi
376,Ph,,"fʲ, fˠ",p
380,Pháras,Munster; Connacht,ˈfˠɑːɾˠəsˠ,pˠhaɾˠəsˠ
427,Shamhain,Connacht,"həunʲ, ˈhɑvˠən",sˠhamˠhən̪
429,Sheáin,Munster; Connacht,"çɑːnʲ, çɑ̃ːnʲ",sçain̪
430,Shligigh,Connacht,ˈhlʲɪɟiː,sˠhl̪ɪɟiɟ
435,Sligeach,Connacht,ˈʃl̠ʲɪɟəx,sˠl̪ɪɟəx
439,Sord Cholm Cille,Connacht,"ˌsˠauɾˠd̪ˠ xɔlˠəm ˈcɪl̠ʲə, ˌsˠauɾˠd̪ˠ xɔl̪ˠəm ˈcɪl̠ʲə",sˠəuɾˠd̪ khʊl̪mˠ cɪl̪l̪ə
468,Tír na nÓg,Munster; Connacht,ˌtʲiːɾˠ n̪ˠə ˈn̪ˠoːɡ,tʲəiɾʲ n̪a n̪ʊg
477,Vallúinis,,wal̪ˠuːnʲɪʃ,val̪l̪ən̪iʃ
482,Volaifis,,wɔl̪ˠəfʲɪʃ,vʊl̪ifʲiʃ
485,a chairde,Munster; Connacht,ə ˈxɑːɾˠdʲə,a khaiɾʲdʲi
486,a chara,,ə ˈxaɾˠə,a khaɾˠə
487,a chlog,Connacht,"oːˈxlˠoɡ, əˈxlˠoɡ",a khl̪ʊg
501,abhaile,Connacht,əˈwalʲə,abˠhəl̪ə
502,abhaill,,ˈəuwəl̠ʲ,abˠhəl̪l̪
504,abhna,,ˈoːn̪ˠə,abˠhn̪ə
524,acústaic,,əˈkuːsˠt̪ˠɪc,akəsˠt̪ic
532,adhlaic,Connacht,"ˈɑːl̪ˠəc, ˈəil̪ˠəc",ad̪hl̪ic
533,adhnaic,Connacht,ˈəin̪ˠəc,ad̪hn̪ic
543,ag,,"ə, əɟ, əɡ, ɛɟ, ɪɟ",ag
555,agam,Mayo; Connacht,ˈuɡəmˠ,agəmˠ
558,agat,Galway; Connacht,ˈɑː(ɡə)t̪ˠ,agət̪
565,aici,Connacht,"ˈɛciː, ˈɛcə",aici
566,aicise,,ˈɛcɪʃə,aiciʃi
573,aiges,,ˈɛɟɪsˠ,aiɟiʃ
596,airg,,ˈaɾʲɪɟ,ɑːɾʲg
601,airne,Munster; Connacht,ˈɑːɾˠn̠ʲə,aiɾʲn̪ə
610,aiseag,Ulster; Connacht,ˈæʃək,aiʃəg
622,aithinne,,ˈæhən̠ʲə,aitʲçən̪n̪ə
640,amach,,əˈmˠax,amˠəx
641,amach is amach,,əˈmˠax əsˠ əˈmˠax,amˠəx ɪʃ amˠəx
657,amhrán,Connacht,"ˈoːɾˠɑːnˠ, ˈoːɾˠɑːn̪ˠ",amˠhɾˠən̪
658,amhrán,Aran; also; Connacht,ˈɑːɾˠɑːnˠ,amˠhɾˠən̪
659,amháin,Connacht,əˈwɑːnʲ,amˠhən̪
661,amú,,əˈmˠuː,amˠə
662,an,,"ə.nˠ-, ə.n̠ʲ-, ə.n̪ˠ-, ə, ənˠ",an̪
663,an rud a fhaightear go bog caitear go bog é,,ən̪ˠ ɾˠʊd̪ˠ ə aɪtʲəɾˠ ɡə bˠɔɡ kɑtʲəɾˠ ɡə bˠɔɡ eː,an̪ ɾˠʊd̪ a fˠhaiɟhtʲəɾˠ gʊ bˠʊg kaitʲəɾˠ gʊ bˠʊg ɛ
664,an té,,ə(n̠ʲ)ˈtʲeː,an̪ tʲɛ
666,anagheairid,,ɑnɑˈjaɾʲədʲ,an̪əgçiɾʲidʲ
671,aneas,Connacht,əˈn̠ʲasˠ,an̪əsˠ
676,anocht,Connacht,əˈnˠɔxt̪ˠ,an̪əkht̪
678,anoir,Connacht,əˈn̪ˠɛɾʲ,an̪iɾʲ
680,anois,Connacht,əˈnʲiʃ,an̪iʃ
686,aoi,,iː,aə
687,aoibh,,ˈiːvʲ,aibʲ
688,aoibheall,,ˈiːvʲəl̪ˠ,aibʲçəl̪l̪
690,aoibhinn,Ulster; Connacht,ˈiːvʲən̠ʲ,aibʲçən̠ʲ
692,aoil,,iːlʲ,aəl̪
696,aoir,,ˈiːɾʲ,ɑːɾʲ
697,aoire,Ulster; Connacht,ˈiːɾʲə,aiɾʲi
698,aois,Ulster; Munster; Connacht,iːʃ,aiʃ
699,aon,,,aən̪
700,aon,Ulster; Connacht,iːn̪ˠ,aən̪
702,aon déag,,eːn̠ʲ dʲeːɡ,aən̪ dʲɑg
704,aonaid,,ˈeːnˠədʲ,aən̪idʲ
707,aonmhac,Ulster; Connacht,"ˈeːnˠˌwak, ˈeːn̪ˠˌwak",aən̪mˠhək
708,aonraic,,ˈeːn̪ˠɾˠɪc,aən̪ɾˠic
710,aos,Ulster; Connacht,iːsˠ,aəsˠ
716,ar a laghad,Munster; Connacht,ˌɛɾʲəˈl̪ˠəid̪ˠ,ɑːɾˠ a l̪aghəd̪
718,ar ais,,ɛɾʲˈaʃ,ɑːɾˠ aiʃ
721,ar aon chaoi,,ɛɾʲ eː ˈxiː,ɑːɾˠ aən̪ khaə
726,ar bís,,əɾˠˈbʲiːʃ,ɑːɾˠ bʲɪʃ
727,ar chor ar bith,,ə ˌxɔɾˠ əˈbʲɪ(h),ɑːɾˠ khʊɾˠ ɑːɾˠ bʲɪtʲ
732,ar dtúis,,ɛɾˠˈd̪ˠuːʃ,ɑːɾˠ d̪t̪ɪʃ
736,ar gcúl,,"eɾʲˈɡuːlˠ, eɾʲˈɡuːl̪ˠ, əɾʲˈɡuːlˠ",ɑːɾˠ gkʊl̪
737,ar leith,,ɛɾʲˈl̠ʲɛh,ɑːɾˠ l̪ɛtʲ
738,ar maidin,,ɛɾʲ ˈmˠadʲənʲ,ɑːɾˠ mˠaidʲən̪
739,ar nós,Connacht,əɾˠˈn̪ˠuːsˠ,ɑːɾˠ n̪ʊsˠ
741,ar scáth,Connacht,ɛɾʲˈsˠkɑː,ɑːɾˠ sˠkat
744,ar siúl,,ɛɾʲ ˈʃuːlˠ,ɑːɾˠ ʃɪəl̪
745,ar son,Connacht,ɛɾʲˈsˠʊnˠ,ɑːɾˠ sˠʊn̪
750,arc,,aɾˠk,ɑːrk
757,ardghlórach,Connacht,ˈɑːɾˠd̪ˠˌɣlˠoːɾˠəx,aɾˠd̪ghl̪əɾˠəx
766,arán,Connacht,"(ə)ˈɾˠɑːnˠ, (ə)ˈɾˠɑːn̪ˠ",aɾˠən̪
768,arís,,əˈɾʲiːʃ,aɾʲiʃ
769,aríst,Ulster; Connacht,əˈɾʲiːʃtʲ,aɾʲiʃt̪
792,atá,Munster; Connacht,əˈt̪ˠɑː,at̪ə
793,atáim,Munster; Connacht,əˈt̪ˠɑːmʲ,at̪imʲ
795,atáthar,Munster; Connacht,əˈt̪ˠɑːhəɾˠ,at̪ət̪həɾˠ
796,aíocht,,iəxt̪ˠ,aəkht̪
858,baoth,,,bˠaət
886,bean rialta,,ˌbʲanˠ ˈɾˠiəl̪ˠt̪ˠə,bʲɑn̪ ɾʲiəl̪t̪ə
894,bearna baoil,,ˌbʲɑːɾˠn̪ˠə ˈbˠiːlʲ,bʲæɾˠn̪ə bˠaəl̪
935,bh,,"vʲ, w",b
936,bhF,,"vʲ, w",bˠhfˠ
938,bhFionlainnis,,ˈvʲɪn̪ˠl̪ˠən̠ʲɪʃ,bˠhfʲɪn̪l̪ən̪n̪iʃ
942,bhain,,"wanʲ, wɪnʲ",bˠhain̪
944,bhainne,Ulster; Connacht,ˈwan̠ʲə,bˠhain̪n̪ə
946,bhairéad,Connacht,ˈwaɾʲeːd̪ˠ,bˠhaiɾʲəd̪
947,bhaist,Ulster; Connacht,waʃtʲ,bˠhaiʃt̪
948,bhalla,,,bˠhal̪l̪ə
950,bhanc,Ulster; Connacht,waŋk,bˠhank
952,bharúil,Connacht,ˈwaɾˠuːlʲ,bˠhaɾˠəl̪
955,bhatar,Ulster; Connacht,ˈwat̪ˠəɾˠ,bˠhat̪əɾˠ
958,bhearr,Munster; Connacht,vʲɑːɾˠ,bçæɾˠɾˠ
959,bheas,,vʲɛ(i)sˠ,bçɑsˠ
960,bheatha,,ˈvʲahə,bçɑt̪hə
961,bheidh,Ulster; Connacht,vʲɛj,bçɛdʲ
965,bheinn,,vʲɛn̠ʲ,bçɛən̠ʲ
966,bheir,,vʲɛɾʲ,bçɛɾʲ
970,bheirim,Munster; Connacht,ˈvʲɛɾʲəmʲ,bçɛɾʲimʲ
972,bheirir,,ˈvʲɛɾʲəɾʲ,bçɛɾʲiɾʲ
975,bheo,Munster; Connacht,vʲoː,bçoː
976,bhf,,"vʲ, w",bˠhfˠ
977,bhfaca,Connacht,ˈwɑkə,bˠhfˠakə
979,bhfadhb,Ulster; Connacht,wəibˠ,bˠhfˠad̪hbˠ
982,bhfarraige,Ulster; Connacht,ˈwaɾˠəɟə,bˠhfˠaɾˠɾˠiɟi
984,bhfeaca,,ˈvʲakə,bˠhfʲɑkə
986,bhfear,,vʲaɾˠ,bˠhfʲæɾˠ
987,bhfearthainn,Ulster; Kerry; Cork; Connacht,ˈvʲaɾˠhən̠ʲ,bˠhfʲæɾˠt̪həən̠ʲ
989,bhfeiceanna,,ˈvʲɛcən̪ˠə,bˠhfʲɛcən̪n̪ə
993,bhfeicinn,Ulster; Connacht,ˈvʲɛcɪn̠ʲ,bˠhfʲɛcən̠ʲ
992,bhfeicinn,,,bˠhfʲɛcən̠ʲ
995,bhfeighil,,vʲəilʲ,bˠhfʲɛɟçəl̪
997,bhfeirm,,ˈvʲɛɾʲəmʲ,bˠhfʲɛɾʲmˠ
998,bhfeis,,vʲɛʃ,bˠhfʲɛʃ
999,bhfeoil,Munster; Connacht,vʲoːlʲ,bˠhfʲoːəl̪
1001,bhfiacha,,ˈvʲiəxə,bˠhfʲiəkhə
1002,bhfiarthaí,,ˈvʲiəɾˠhiː,bˠhfʲiəɾˠt̪hə
1003,bhfiche,Ulster; Connacht,ˈvʲɪçə,bˠhfʲɪcçi
1004,bhfichidí,Connacht,ˈvʲɪçɪdʲiː,bˠhfʲɪcçidʲi
1005,bhfir,,vʲɪɾʲ,bˠhfʲɪɾʲ
1006,bhflaith,Ulster; Connacht,"wlˠa, wlˠah",bˠhfˠl̪aitʲ
1007,bhflatha,Ulster; Connacht,ˈwlˠahə,bˠhfˠl̪at̪hə
1009,bhfreastalaí,,ˈfʲɾʲasˠt̪ˠəlˠiː,bˠhfɾʲɑsˠt̪əl̪ə
1022,bhfáinní,Connacht,ˈwɑːn̠ʲiː,bˠhfˠain̪n̪ə
1023,bhféar,Ulster; Connacht,vʲeːɾˠ,bˠhfʲæɾˠ
1024,bhfíodóirí,Connacht,ˈvʲiːd̪ˠoːɾʲiː,bˠhfʲɪd̪iɾʲi
1025,bhfís,,vʲiːʃ,bˠhfʲɪʃ
1027,bhialann,,ˈvʲiəl̪ˠən̪ˠ,bçiəl̪ən̪ˠ
1028,bhialann,Ulster; also; Connacht,ˈvʲiəlˠən̪ˠ,bçiəl̪ən̪ˠ
1030,bhinde,,ˈvʲɪn̠ʲdʲə,bçɪndʲi
1032,bhlas,Ulster; Connacht,vˠlˠasˠ,bˠhl̪asˠ
1033,bhliain,,vʲlʲiənʲ,bˠhl̪iəən̪
1038,bhog,Connacht,wɔɡ,bˠhʊg
1040,bhoid,Ulster; Connacht,wɪdʲ,bˠhɛdʲ
1041,bholg,Ulster; Connacht,"ˈwɔlˠəɡ, ˈwɔl̪ˠəɡ",bˠhʊl̪əg
1042,bhranda,,ˈvˠɾˠan̪ˠd̪ˠə,bˠhɾˠan̪d̪ə
1047,bhriste,,ˈvʲɾʲɪʃtʲə,bˠhɾʲɪʃtʲi
1048,bhrád,Connacht,wɾˠɑːd̪ˠ,bˠhɾˠad̪
1049,bhrí,,vʲɾʲiː,bˠhɾʲɪ
1050,bhróga,Connacht,"ˈwɾˠoːɡiː, ˈwɾˠoːɡə",bˠhɾˠʊgʊ̽
1051,bhróin,,"vˠɾˠoːnʲ, wɾˠoːnʲ",bˠhɾˠɔn̪
1053,bhuailte,Ulster; Connacht,ˈwuəl̠ʲtʲə,bˠhuaəltʲi
1054,bhuel,Ulster; Munster; Connacht,wɛlʲ,bˠhʊʊ̽l̪
1055,bhun,Connacht,wʊnˠ,bˠhʊn̪
1060,bhád,Connacht,wɑːd̪ˠ,bˠhad̪
1063,bhán,Ulster; Connacht,"waːnˠ, wɑːnˠ",bˠhan̪
1066,bhí,,vʲiː,bçɪ
1067,bhídís,,ˈvʲiːdʲiːʃ,bçɪdʲiʃ
1069,bhínn,,vʲiːn̠ʲ,bçən̠ʲ
1070,bhíobhair,,ˈvʲiːwəɾʲ,bçɪbˠhiɾʲ
1073,bhíonn,,vʲiːn̪ˠ,bçɪn̪n̪
1074,bhíonns,,vʲiːn̪ˠsˠ,bçɪn̪n̪sˠ
1077,bhís,,ˈvʲiːʃ,bçɪʃ
1080,bhó,Connacht,woː,bˠhʊ
1416,caidhp bháis,Connacht,ˌkaipʲ ˈwɑːʃ,kaidʲhpˠ bˠhaiʃ
1540,cart,,kɑɾˠt̪ˠ,cɑːɾˠt̪
1606,ceathair déag,,"dje ˈcahəɾʲ, ˈcahəɾʲ jeːɡ",cɑt̪hiɾʲ dʲɑg
1618,ceird,Aran; Connacht,kaiɾʲdʲ,cəiɾʲd̪
1627,ceithre,Connacht,ˈçɛɾʲə,cɛtʲhɾʲi
1642,chac,,"xak, xɑk",khak
1643,chaill,Connacht,"xal̠ʲ, xɑːl̠ʲ",khail̪l̪
1644,chailleas,,ˈxalʲəsˠ,khail̪l̪əsˠ
1648,chaith,Connacht,xa,khaitʲ
1651,channa,,"ˈxan̪ˠə, ˈxɑn̪ˠə",khan̪n̪ə
1652,chantar,,ˈxan̪ˠt̪ˠəɾˠ,khan̪t̪əɾˠ
1654,chaogad,Ulster; Connacht,ˈxiːɡəd̪ˠ,khaəgəd̪
1655,chaoi,,xiː,khaə
1656,chaoil,,xiːlʲ,khaəl̪
1657,chaoimhe,Ulster; Connacht,ˈxiːvʲə,khaimʲçi
1659,chapaill,,ˈxapˠəl̪ʲ,khapˠəl̪l̪
1660,chapall,,ˈxapˠəl̪ˠ,khapˠəl̪l̪
1661,char,,xaɾˠ,khaɾˠ
1663,charachtair,,ˈxaɾˠəxt̪ˠəɾʲ,khaɾˠəkht̪iɾʲ
1665,charad,,ˈxaɾˠəd̪ˠ,khaɾˠəd̪
1666,charaid,,"ˈxaɾˠədʲ, ˈxɑɾˠədʲ",khaɾˠidʲ
1669,chas,,xɑsˠ,khasˠ
1670,chat,,xat̪ˠ,khat̪
1671,chatach,Connacht,ˈxat̪ˠəx,khat̪əx
1672,chath,,xah,khat
1673,chead,,çad̪ˠ,kçɑd̪
1674,cheada,,ˈçad̪ˠə,kçɑd̪ə
1675,cheal,,çalˠ,kçɑl̪
1677,chealg,Ulster; Munster; Connacht,ˈçal̪ˠəɡ,kçɑl̪əg
1680,cheantar,,ˈçan̪ˠt̪ˠəɾˠ,kçɑn̪t̪əɾˠ
1681,cheap,,çapˠ,kçɑpˠ
1682,cheaptaí,,ˈçapˠt̪ˠiː,kçɑpˠt̪ə
1683,chearc,,çaɾˠk,kçærk
1684,chearnóg,Connacht,ˈçɑːɾˠn̪ˠoːɡ,kçæɾˠn̪əg
1685,cheart,,çaɾˠt̪ˠ,kçæɾˠt̪
1686,cheas,,çasˠ,kçɑsˠ
1688,cheintiméadar,Connacht,ˈçɛn̠ʲtʲəmʲeːd̪ˠəɾˠ,kçɛntʲimʲidʲəɾˠ
1690,cheird,Cois-Fharraige; Connacht,çaiɾˠdʲ,kçɛɾʲd̪
1700,chiardhuibh,,ˈçiəɾˠɣɪvʲ,kçiəɾˠd̪hibʲ
1701,chic,,çɪc,kçɪc
1702,chileagram,,ˈçɪlʲəɡɾˠamˠ,kçɪl̪əgɾˠəmˠ
1706,chion,Connacht,çɪnˠ,kçɪn̪
1707,chip,,çɪpʲ,kçɪpʲ
1709,chirt,,çɪɾˠtʲ,kçɪɾʲt̪
1710,chis,,çɪʃ,kçɪʃ
1711,chiseanna,,ˈçɪʃən̪ˠə,kçɪʃən̪n̪ə
1712,chistin,,ˈçɪʃtʲənʲ,kçɪʃtʲən̪
1715,chloch,Munster; Connacht,xlˠɔx,khl̪ʊk
1716,chloisteáil,,ˈxlˠɔʃtʲɑːlʲ,khl̪ɛʃtʲəl̪
1717,chluais,,"xlˠuəʃ, xl̪ˠuəʃ",khl̪uaiʃ
1719,chlé,,çlʲeː,khl̪ɛ
1722,chneasta,Ulster; Connacht,ˈçɾʲasˠt̪ˠə,khn̪asˠt̪ə
1723,chnáimh,Ulster; Connacht,xɾˠɑːvʲ,khn̪aimʲ
1725,chodail,Munster; Connacht,ˈxod̪ˠəlʲ,khʊd̪ʊ̽l̪
1727,choil,,xɛlʲ,khɔl̪
1729,choir,,xɛɾʲ,khɛɾʲ
1730,choire,,ˈxɛɾʲə,khɛɾʲi
1734,chomhair,Munster; Connacht,xoːɾʲ,khʊmˠhiɾʲ
1737,chonaic,Cois-Fharraige; Connacht,ˈxaːnʲic ~ ˈhaːnʲic ~ ˈxinʲic ~ ˈxaːɲc,khʊn̪ic
1736,chonaic,Aran; Connacht,ˈxɞn̪ˠic,khʊn̪ic
1740,chorp,,xɔɾˠpˠ,khʊɾˠpˠ
1741,chos,Munster; Connacht,xɔsˠ,khʊsˠ
1742,chosa,,ˈxɔsˠə,khʊsˠʊ̽
1743,choscair,Munster; Connacht,ˈxɔsˠkəɾʲ,khʊsˠkiɾʲ
1744,chrap,,xɾˠapˠ,khɾˠapˠ
1746,chreid,Munster; Connacht,çɾʲɛdʲ,khɾʲɛdʲ
1748,chroí,,xɾˠiː,khɾˠɔ
1751,chruit,,xɾˠɪtʲ,khɾˠɪtʲ
1754,chráis,,xɾˠɑːʃ,khɾˠaiʃ
1756,chuairt,,"xuəɾˠtʲ, xuːɾˠtʲ",khuaiɾʲt̪
1757,chuala,Munster; Connacht,"ˈxuəlˠə, ˈxuəl̪ˠə",khual̪ə
1760,chualais,,ˈxuəlˠəʃ,khual̪iʃ
1761,chualamar,,ˈxuəlˠəmˠəɾˠ,khual̪əmˠəɾˠ
1765,chuathas,,ˈxuəhəsˠ,khuat̪həsˠ
1767,chughamsa,,ˈxuːmˠsˠə,khʊghʊ̽mˠsˠʊ̽
1768,chuid,,xɪdʲ,khɪdʲ
1772,chuimhnigh,Mayo; Connacht,ˈxĩvʲɾʲiː ~ ˈximʲɾʲiː ~ ˈxĩvʲnʲiː,khɪmʲhn̪iɟ
1775,chuir i dtaisce,,ˌxɪɾʲ əˈd̪ˠaʃcɪ,khɪɾʲ ɪ d̪t̪aiʃci
1780,chulaith,Mayo; Connacht,ˈxolˠiː,khʊl̪itʲ
1779,chulaith,Galway; Connacht,ˈxolˠə ~ ˈxɞlˠə,khʊl̪itʲ
1781,chum,,"xuːmˠ, xʊmˠ, xʊnˠ",khʊmˠ
1783,chun,,xʊnˠ,khʊn̪
1784,chur,,xʊɾˠ,khʊɾˠ
1788,cháin,Munster; Connacht,xɑːnʲ,khain̪
1791,chéad,,çeːd̪ˠ,kçɑd̪
1792,chéanna,Ulster; noun; Connacht,ˈçeːn̪ˠə,kçɑn̪n̪ə
1794,chéibh,,ˈçeːvʲ,kçɛbʲ
1796,chéile,,ˈçeːlʲə,kçɛl̪ə
1797,chéim,,çeːmʲ,kçɛmʲ
1799,chíd,,ˈçiːdʲ,kçɪdʲ
1800,chím,,çiːmʲ,kçɪmʲ
1801,chímid,,ˈçiːmʲɪdʲ,kçɪmʲədʲ
1802,chíonn,,çiːn̪ˠ,kçɪn̪n̪
1803,chír,,ˈçiːɾʲ,kçɪɾʲ
1804,chíre,,ˈçiːɾʲə,kçɪɾʲi
1805,chítear,,ˈçiːtʲəɾˠ,kçɪtʲəɾˠ
1806,chóir,Munster; Connacht,xoːɾʲ,khɛɾʲ
1807,chóisir,Munster; Connacht,ˈxoːʃəɾʲ,khɛʃiɾʲ
1808,chór,,xoːɾˠ,khʊɾˠ
1810,chósta,Munster; Connacht,ˈxoːsˠt̪ˠə,khʊsˠt̪ʊ̽
1811,chóta,Munster; Connacht,ˈxoːt̪ˠə,khʊt̪ʊ̽
1814,chúig,,xuːɟ,khɪɟ
1815,chúil,,xuːlʲ,khɪl̪
1816,chúis,,xuːʃ,khɪʃ
