deice	ˈdʲɛcɪ
crotal	ˈkɾˠɔt̪ˠəlˠ
copar	ˈkɔpˠəɾˠ
muineál	ˈmˠɪnʲeɑːlˠ
rúibín	ˈɾˠúbʲiːnʲ
clabhtaí	ˈklˠəut̪ˠiː
ghairdín	ˈɣaɾʲədʲiːnʲ
díon as	ˈdʲiːn̪ˠ asˠ
bobaireacht	ˈbˠɔbˠəɾʲəxt̪ˠ
poitín	ˈpˠɪtʲiːnʲ
fréimhe	ˈfʲɾʲéiiːə
éirím	ˈeːɾʲiːmʲ
Caiseal	ˈkaʃəlˠ
cónaí	ˈkoːn̪ˠiː
éigean	ˈeːɟən̪ˠ
ghoile	ˈɣɛlʲə
gceantar	ˈɟan̪ˠt̪ˠəɾˠ
rógánta	ˈɾˠoːɡɑːn̪ˠt̪ˠə
éad	eːd̪ˠ
-imis	-ˈɪmʲəʃ
aoibheall	ˈiːvʲəlˠ
leithead	ˈlʲɛhəd̪ˠ
troithe	ˈt̪ˠɾˠɛhə
ngairdín	ˈŋaɾʲədʲiːnʲ
cúraim	ˈkuːɾˠəmʲ
féarach	ˈfʲeːɾˠəx
capall	ˈkapˠəlˠ
mar sin	mˠəɾˠ ˈʃɪnʲ
fhuáil	ˈuɑːlʲ
scoile	ˈsˠkɛlʲə
chír	çiːɾʲ
seasca	ˈʃasˠkə
cóiriú	ˈkóɾʲuː
caiseal	ˈkaʃəlˠ
oifige	ˈɛfʲəɟɪ
mheil	vʲɛlʲ
bhíonn	vʲiːnʲ
chíonn	çiːnʲ
gróite	ˈɡɾˠótʲə
ghoib	ɣɪbʲ
piana	ˈpʲiən̪ˠə
damhsa	ˈd̪ˠəusˠə
lastuas	ˈlˠasˠt̪ˠuəsˠ
thír	hiːɾʲ
bhfaca	ˈwakə
brollach	ˈbˠɾˠɔlˠəx
amadána	ˈamˠəd̪ˠɑːn̪ˠə
iomlán	ˈʊmˠlˠɑːnˠ
dúras	ˈd̪ˠuːɾˠəsˠ
scáileán	ˈsˠkɑːlʲeɑːnˠ
ópalach	ˈoːpˠəlˠəx
éabhlóideach	ˈeːwlˠódʲəx
slaghdán	ˈsˠlˠaid̪ˠɑːnˠ
meáchan	ˈmʲeɑːxən̪ˠ
déantóir	ˈdʲeːn̠̪ˠt̪ˠóɾʲ
hail	halʲ
glac	ɡlˠak
fail	fˠalʲ
áille	ˈɑːlˠə
roinne	ˈɾˠɪnʲə
bainis	ˈbˠanʲəʃ
toinne	ˈt̪ˠɪnʲə
bhfeoil	vʲoːlʲ
coisreacaim	ˈkɛʃɾʲəkəmʲ
seilide	ˈʃɛlʲədʲə
mo ghrá thú	mˠɔ ɾˠɑː ˈhuː
ex	ɛx
sholas	ˈhɔlˠəsˠ
stróic	ˈsˠt̪ˠɾˠóc
múnaid	ˈmˠuːn̪ˠədʲ
múchaim	ˈmˠuːxəmʲ
ruaig	ˈɾˠuəɟ
ceathair	ˈcahəɾʲ
áthas	ˈɑːhəsˠ
toirbh	t̪ˠɛɾʲvʲ
giota	ˈɟiət̪ˠə
ciseal	ˈcɪʃəlˠ
tráthchlár	ˈt̪ˠɾˠɑːhxlˠɑːɾˠ
ceart	caɾˠt̪ˠ
beart	bʲaɾˠt̪ˠ
feadaíl	ˈfʲad̪ˠəlʲ
n-alt	n̪ˠ-ɛl̠ˠt̪ˠ
ghlacann	ˈlˠakən̪ˠ
mbáisteach	ˈmˠɑːʃtʲəx
bóithrín	ˈbˠóhɾʲiːnʲ
Bhríd	vʲɾʲiːdʲ
morgtha	ˈmˠɔɾˠəkə
t-alt	t̪ˠ-ɛl̠ˠt̪ˠ
geimhriú	ˈɟɛvʲɾʲuː
cathaoireach	ˈkahiːɾʲəx
clóis	ˈklˠóʃ
dúlamán	ˈd̪ˠuːlˠəmˠɑːnˠ
Éireannaigh	ˈeːɾʲən̪ˠə
caoimhe	ˈkiːvʲə
clóiséad	ˈklˠóʃeːd̪ˠ
saoileann	ˈsˠiːlʲən̪ˠ
seál	ˈʃeɑːlˠ
fortacht	ˈfˠɔɾˠt̪ˠəxt̪ˠ
seordán	ˈʃoːɾˠəd̪ˠɑːnˠ
bhróin	ˈwɾˠónʲ
éin	eːnʲ
mbeidh	mʲɪ
Iúil	úlʲ
troimide	ˈt̪ˠɾˠɪmʲədʲə
seala	ˈʃalˠə
craic	kɾˠac
mhart	wɛɾˠt̪ˠ
fórsa	ˈfˠoːɾˠsˠə
thart	hɛɾˠt̪ˠ
dtéid	dʲeːdʲ
ceathair déag	ˌcahəɾʲ dʲeːɡ
gcroí	ˈɡɾˠoiː
Caoimhe	ˈkiːvʲə
ómrach	ˈoːmˠɾˠəx
cúigear	ˈkúɟəɾˠ
gasóg	ˈɡasˠoːɡ
abhaill	ˈəuəlˠ
cúil	ˈkúlʲ
nbhur	n̪ˠwʊɾˠ
bleacht	bʲlʲaxt̪ˠ
torc	t̪ˠɔɾˠk
caitín	ˈkatʲiːnʲ
aitheanta	ˈahən̪ˠt̪ˠə
ghaiscíocha	ˈɣaʃciːxə
súil	ˈsˠúlʲ
farraige	ˈfˠaɾˠəɟɪ
harán	ˈhaɾˠɑːnˠ
stéig	ʃtʲeːɟ
hime	ˈhɪmʲə
glice	ˈɟlʲɪcɪ
bhfadhb	wəbˠ
cime	ˈcɪmʲə
sáfach	ˈsˠɑːfˠəx
pósad	ˈpˠoːsˠəd̪ˠ
oirthear	ˈɛɾʲəɾˠ
Eochaidh	ˈoːxə
ghrúdlann	ˈɾˠuːd̪ˠlˠən̪ˠ
iompar	ˈʊmˠpˠəɾˠ
t-airgead	t̪ˠ-ˈaɾʲəɟəd̪ˠ
plúir	ˈpˠlˠúɾʲ
threabh	hɾʲəu
cuibhrinn	ˈkɪvʲɾʲən̪ˠ
carraige	ˈkaɾˠəɟɪ
amhráin	ˈəuɾˠɑːnʲ
Tuaisceart Éireann	ˌt̪ˠuəʃcəɾˠtʲ ˈeːɾʲən̪ˠ
siúcra	ˈʃuːkɾˠə
tuairim	ˈt̪ˠuəɾʲɪmʲ
díoltas	ˈdʲiːl̠ˠt̪ˠəsˠ
tharla	ˈhaɾˠlˠə
chulaith	ˈxʊlˠə
ro-	ɾˠɔ-
Dhia	ˈjiə
guidid	ˈɡɪdʲɪdʲ
inghlactha	ˈɪŋhlˠəkə
atáthar	ˈat̪ˠɑːhəɾˠ
braistint	ˈbˠɾˠaʃtʲən̪ʲtʲ
achainí	ˈaxənʲiː
do-	d̪ˠɔ-
brac	bˠɾˠak
úrú	ˈuːɾˠuː
thuilleamaí	ˈhɪlʲəmˠiː
bróin	ˈbˠɾˠónʲ
ospidéil	ˈɪʃpʲədʲeːlʲ
léite	ˈlʲeːtʲə
mhaol	wiːlˠ
ócáid	ˈoːkɑːdʲ
olann	ˈɔlˠən̪ˠ
Araib	ˈaɾˠəbʲ
ísle	ˈiːʃlʲə
téanam	ˈtʲeːn̪ˠəmˠ
spréach	ʃpʲɾʲeːx
dtíortha	ˈdʲiːɾˠə
bhíodar	ˈvʲiːd̪ˠəɾˠ
baladh	ˈbˠalˠə
ailm	al̪ʲmʲ
i ndán	əˈn̪ˠɑːn̪ˠ
ndoirse	ˈn̪ˠɔɾˠʃə
cailce	ˈkal̪ʲcɪ
lenar	ˈlʲɛn̪ˠəɾˠ
faiteach	ˈfˠatʲəx
