word,tags,ipa
Aoine an Chéasta,Ulster; Connacht,ˌiːnʲə ˈçeːsˠt̪ˠə
Aoine an Chéasta,Munster,ˌiːnʲə ˈçiːa̯sˠt̪ˠə
Aonghas,Aran,ˈæŋɡəsˠ
Aonghas,Cork,ˈeːnˠiːsˠ
Aonghas,Ulster,"n̪ˠĩːsˠ, n̪ˠɯ̃ːsˠ"
Arabach,,ˈaɾˠəbˠəx
Araib,,ˈaɾˠəbʲ
Araibis,,ˈaɾˠəbʲəʃ
Ard Mhacha,,ɑːɾˠd̪ˠ ˈwaxə
Ard-Fheis,,ˈɑːɾˠd̪ˠ ˈɛɕ
Bablóinia,,bˠabˠˈlˠoːnʲiə
Baile Brigín,Connacht,"ˌbˠalə ˈbʲɾʲɪɟiːnʲ, ˌbˠælə ˈbʲɾʲɪɟiːnʲ, ˌbˠɑːlʲə ˈbʲɾʲɪɟiːnʲ"
Baile Brigín,Munster,ˌbˠalʲə bʲɾʲɪˈɟiːnʲ
Baile Brigín,Ulster,"ˌbˠælʲə ˈbʲɾʲɪɟiːnʲ, ˌbˠɛlʲə ˈbʲɾʲɪɟiːnʲ"
Baile Meánach,Connacht,ˌbˠalʲə ˈmʲɑːnˠəx
Baile Meánach,Munster; Connacht,ˌbˠalʲə ˈmʲɑːn̪ˠəx
Baile Meánach,Ulster,"ˌbˠælʲə ˈmʲaːnˠa(x), ˌbˠælʲə ˈmʲaːn̪ˠa(x)"
Baile Nua na hArda,Connacht,ˌbˠalʲə ˌn̪ˠuː n̪ˠə ˈhɑːɾˠd̪ˠə
Baile Nua na hArda,Cork,ˌbˠalʲə ˌn̪ˠoː n̪ˠə ˈhɑːɾˠd̪ˠə
Baile Nua na hArda,Kerry,ˌbˠalʲə ˌn̪ˠuə n̪ˠə ˈhɑːɾˠd̪ˠə
Baile Nua na hArda,Ulster,ˌbˠalʲə ˌn̪ˠuː n̪ˠə ˈhaːɾˠd̪ˠə
Baile Uí Bheacháin,Aran,ˌbˠaliːˈvʲɞxaːn
Baile na Mainistreach,Munster; Connacht,ˌbˠalʲə n̪ˠə ˈmˠanʲəʃtʲɾʲəx
Baile na Mainistreach,Ulster,ˌbˠalʲə n̪ˠə ˈmˠanʲəʃtʲɾʲa(x)
Baile Átha Cliath,Aran,bˠlɑˈkliː
Baile Átha Cliath,Munster; Connacht,ˌbʲlʲɑː ˈclʲiə
Baile Átha Cliath,Ulster,ˌbʲlʲaː ˈclʲiə
Baile Átha Luain,Munster; Connacht,ˌbʲlʲɑː ˈl̪ˠuənʲ
Baile Átha Luain,Ulster,ˌbʲlʲaː ˈl̪ˠuənʲ
Bairbre,,ˈbˠaɾʲəbʲɾʲə
Bandan,,bˠɑn̪ˠd̪ˠən̪ˠ
Bascais,,ˈbˠasˠkəʃ
Baváir,Connacht,ˈbˠawɑːɾʲ
Baváir,Munster,bˠəˈvˠɑːɾʲ
Baváir,Ulster,ˈbˠawaɾʲ
Bealach Féich,Ulster,ˌbʲalˠa(x)ˈfʲəi̯
Bealtaine,Mayo; Aran,ˈbʲal̪ˠt̪ˠənʲə
Bealtaine,Cois-Fharraige,ˈbʲɑːl̪ˠt̪ˠənʲə
Bealtaine,Munster,ˈbʲɑul̪ˠt̪ˠənʲə
Bealtaine,Ulster,ˈbʲaːl̪ˠt̪ˠənʲə
Beannchar,,ˈbʲan̪ˠəxəɾˠ
Bearna,,"ˈbʲaːɾˠn̪ˠə, ˈbʲɑːɾˠn̪ˠə"
Beáltaine,,ˈbʲaːl̪ˠt̪ˠənʲə
Bh,,"vʲ, w"
Bhaile Átha Cliath,Munster; Connacht,ˌvʲlʲɑː ˈclʲiə
Bhaile Átha Cliath,Ulster,ˌvʲlʲæː ˈclʲiə
Bhrasaíl,,vˠɾˠaˈsˠiːlʲ
Bhríd,,vʲɾʲiːdʲ
Bhéarla,,ˈvʲeːɾˠlˠə
Blarna,Munster; Connacht,ˈbˠlˠɑːɾˠn̪ˠə
Blarna,Ulster,ˈbˠlˠæːɾˠn̪ˠə
Blarnan,Munster; Connacht,ˈbˠlˠɑːɾˠn̪ˠənˠ
Blarnan,Ulster,ˈbˠlˠæːɾˠn̪ˠənˠ
Bolcáin,Connacht,ˈbɔlˠkɑːnʲ
Bolcáin,Munster,bəl̪ˠˈkɑːnʲ
Bolcáin,Ulster,ˈbɔlˠkænʲ
Bolcán,Connacht,ˈbɔlˠkɑːnˠ
Bolcán,Munster,bəl̪ˠˈkɑːn̪ˠ
Bolcán,Ulster,ˈbɔlˠkænˠ
Brandubh,,ˈbˠɾˠan̪ˠd̪ˠuː
Brasaíl,,bˠɾˠaˈsˠiːlʲ
Breatnach,Cois-Fharraige,"ˈbʲɾʲæn̪ˠəx, ˈbʲɾʲæːn̪ˠəx"
Breatnach,Mayo,ˈbʲɾʲahnˠəx
Breatnach,Munster,bʲɾʲən̪ˠˈhɑx
Breatnach,Ulster,"ˈbʲɾʲahnˠa(x), ˈbʲɾʲahn̪ˠa(x)"
Brian,,bʲɾʲiən̪ˠ
Bré,,bʲɾʲeː
Bríd,,bʲɾʲiːdʲ
Bé,,bʲeː
Béal Feirste,,"ˌbʲeːlˠ ˈfʲɛɾˠʃtʲə, ˌbʲeːl̪ˠ ˈfʲɛɾˠʃtʲə"
Béarla,Ulster; Connacht,ˈbʲeːɾˠl̪ˠə
